wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776429859497,1,0,0,1,0,0
1776429860499,1,93,1125,61,49,0
1776429861498,1,153,2365,121,51,0
1776429862498,1,213,3683,181,46,0
1776429863499,1,273,4958,241,49,0
1776429864499,1,333,6205,301,49,0
1776429865498,1,393,7495,361,50,0
1776429866499,1,453,8778,421,48,0
1776429867499,1,513,10047,481,46,0
1776429868499,1,573,11295,541,46,0
1776429869497,1,633,12558,601,48,0
1776429870497,1,693,13809,661,50,0
1776429871497,1,753,15088,721,50,0
1776429872498,1,813,16286,781,48,0
1776429873498,1,873,17528,841,51,0
1776429874498,1,933,18816,901,47,0
1776429875497,1,993,20101,961,49,0
1776429876499,1,1053,21401,1021,49,0
1776429877498,1,1113,22722,1081,48,0
1776429878498,1,1173,24065,1141,50,0
1776429879499,1,1233,25414,1201,48,0
1776429880497,1,1293,26733,1261,45,0
1776429881497,1,1353,28065,1321,46,0
1776429882498,1,1413,29402,1381,48,0
1776429883498,1,1473,30758,1441,47,0
1776429884497,1,1533,32119,1501,47,0
1776429885498,1,1593,33437,1561,48,0
1776429886498,1,1653,34761,1621,48,0
1776429887497,1,1713,36099,1681,50,0
1776429888499,1,1773,37433,1741,48,0
1776429889497,1,1833,38712,1801,46,0
1776429890498,1,1893,40049,1861,50,0
1776429891499,1,1953,41359,1921,50,0
1776429892498,1,2013,42691,1981,47,0
1776429893498,1,2073,44020,2041,48,0
1776429894497,1,2133,45345,2101,50,0
1776429895497,1,2193,46685,2161,50,0
1776429896497,1,2253,48028,2221,48,0
1776429897498,1,2313,49355,2281,47,0
1776429898497,1,2373,50666,2341,49,0
1776429899497,1,2433,52008,2401,47,0
1776429900497,1,2493,53359,2461,49,0
1776429901498,1,2553,54649,2521,48,0
1776429902497,1,2613,55950,2581,47,0
1776429903497,1,2673,57289,2641,49,0
1776429904498,1,2733,58621,2701,48,0
1776429905498,1,2793,59953,2761,49,0
1776429906497,1,2853,61300,2821,46,0
1776429907498,1,2913,62626,2881,48,0
1776429908498,1,2973,63973,2941,47,0
1776429909498,1,3033,65323,3001,48,0
1776429910497,1,3093,66604,3061,48,0
1776429911498,1,3153,67926,3121,49,0
1776429912497,1,3213,69292,3181,49,0
1776429913498,1,3273,70634,3241,49,0
1776429914498,1,3333,71944,3301,49,0
1776429915498,1,3393,73272,3361,49,0
1776429916498,1,3453,74608,3421,45,0
1776429917497,1,3513,75953,3481,49,0
1776429918498,1,3573,77257,3541,49,0
