wall_time_ms,player_id,input_seq,ack_seq,rtt_ms,reconciliation_error_px,perceived_delay_ms,mode
1776429921554,1,2,2,2,0,2,baseline
1776429921554,1,1,2,20,0,20,baseline
1776429921606,1,5,5,3,0,3,baseline
1776429921606,1,4,5,20,0,20,baseline
1776429921606,1,3,5,37,0,37,baseline
1776429921653,1,7,7,17,0,17,baseline
1776429921653,1,6,7,35,0,35,baseline
1776429921703,1,11,11,2,0,2,baseline
1776429921703,1,10,11,17,0,17,baseline
1776429921703,1,9,11,35,0,35,baseline
1776429921703,1,8,11,50,0,50,baseline
1776429921754,1,14,14,3,0,3,baseline
1776429921754,1,13,14,18,0,18,baseline
1776429921754,1,12,14,35,0,35,baseline
1776429921804,1,17,17,3,0,3,baseline
1776429921804,1,16,17,20,0,20,baseline
1776429921804,1,15,17,35,0,35,baseline
1776429921855,1,19,19,18,0,18,baseline
1776429921855,1,18,19,36,0,36,baseline
1776429921907,1,23,23,5,0,5,baseline
1776429921907,1,22,23,21,0,21,baseline
1776429921907,1,21,23,39,0,39,baseline
1776429921907,1,20,23,55,0,55,baseline
1776429921956,1,25,25,20,0,20,baseline
1776429921956,1,24,25,36,0,36,baseline
1776429922006,1,29,29,5,0,5,baseline
1776429922006,1,28,29,20,0,20,baseline
1776429922006,1,27,29,37,0,37,baseline
1776429922006,1,26,29,53,0,53,baseline
1776429922056,1,32,32,5,0,5,baseline
1776429922056,1,31,32,20,0,20,baseline
1776429922056,1,30,32,37,0,37,baseline
1776429922107,1,35,35,5,0,5,baseline
1776429922107,1,34,35,20,0,20,baseline
1776429922107,1,33,35,38,0,38,baseline
1776429922156,1,38,38,4,0,4,baseline
1776429922156,1,37,38,20,0,20,baseline
1776429922156,1,36,38,37,0,37,baseline
1776429922204,1,41,41,3,0,3,baseline
1776429922204,1,40,41,17,0,17,baseline
1776429922204,1,39,41,35,0,35,baseline
1776429922255,1,43,43,20,0,20,baseline
1776429922255,1,42,43,35,0,35,baseline
1776429922306,1,46,46,20,0,20,baseline
1776429922306,1,45,46,38,0,38,baseline
1776429922306,1,44,46,53,0,53,baseline
1776429922357,1,50,50,6,0,6,baseline
1776429922357,1,49,50,21,0,21,baseline
1776429922357,1,48,50,38,0,38,baseline
1776429922357,1,47,50,54,0,54,baseline
1776429922406,1,52,52,21,0,21,baseline
1776429922406,1,51,52,36,0,36,baseline
1776429922457,1,56,56,5,0,5,baseline
1776429922457,1,55,56,20,0,20,baseline
1776429922457,1,54,56,38,0,38,baseline
1776429922457,1,53,56,54,0,54,baseline
1776429922504,1,59,59,3,0,3,baseline
1776429922504,1,58,59,18,0,18,baseline
1776429922504,1,57,59,34,0,34,baseline
1776429922553,1,61,61,18,0,18,baseline
1776429922553,1,60,61,34,0,34,baseline
1776429922607,1,65,65,6,0,6,baseline
1776429922607,1,64,65,21,0,21,baseline
1776429922607,1,63,65,39,0,39,baseline
1776429922607,1,62,65,54,0,54,baseline
1776429922653,1,67,67,18,0,18,baseline
1776429922653,1,66,67,34,0,34,baseline
1776429922704,1,71,71,3,0,3,baseline
1776429922704,1,70,71,17,0,17,baseline
1776429922704,1,69,71,36,0,36,baseline
1776429922704,1,68,71,51,0,51,baseline
1776429922753,1,73,73,18,0,18,baseline
1776429922753,1,72,73,33,0,33,baseline
1776429922809,1,77,77,7,0,7,baseline
1776429922809,1,76,77,22,0,22,baseline
1776429922809,1,75,77,40,0,40,baseline
1776429922809,1,74,77,56,0,56,baseline
1776429922856,1,80,80,3,0,3,baseline
1776429922856,1,79,80,21,0,21,baseline
1776429922856,1,78,80,37,0,37,baseline
1776429922904,1,83,83,3,0,3,baseline
1776429922904,1,82,83,18,0,18,baseline
1776429922904,1,81,83,34,0,34,baseline
1776429922955,1,85,85,20,0,20,baseline
1776429922955,1,84,85,35,0,35,baseline
1776429923004,1,89,89,3,0,3,baseline
1776429923004,1,88,89,18,0,18,baseline
1776429923004,1,87,89,36,0,36,baseline
1776429923004,1,86,89,52,0,52,baseline
1776429923055,1,92,92,3,0,3,baseline
1776429923055,1,91,92,18,0,18,baseline
1776429923055,1,90,92,37,0,37,baseline
1776429923106,1,95,95,3,0,3,baseline
1776429923106,1,94,95,21,0,21,baseline
1776429923106,1,93,95,36,0,36,baseline
1776429923156,1,98,98,4,0,4,baseline
1776429923156,1,97,98,19,0,19,baseline
1776429923156,1,96,98,37,0,37,baseline
1776429923207,1,101,101,5,0,5,baseline
1776429923207,1,100,101,21,0,21,baseline
1776429923207,1,99,101,38,0,38,baseline
1776429923257,1,104,104,5,0,5,baseline
1776429923257,1,103,104,21,0,21,baseline
1776429923257,1,102,104,38,0,38,baseline
1776429923304,1,107,107,2,0,2,baseline
1776429923304,1,106,107,18,0,18,baseline
1776429923304,1,105,107,35,0,35,baseline
1776429923356,1,110,110,4,0,4,baseline
1776429923356,1,109,110,19,0,19,baseline
1776429923356,1,108,110,37,0,37,baseline
1776429923406,1,113,113,4,0,4,baseline
1776429923406,1,112,113,20,0,20,baseline
1776429923406,1,111,113,37,0,37,baseline
1776429923457,1,116,116,6,0,6,baseline
1776429923457,1,115,116,20,0,20,baseline
1776429923457,1,114,116,38,0,38,baseline
1776429923505,1,118,118,20,0,20,baseline
1776429923505,1,117,118,36,0,36,baseline
1776429923556,1,121,121,21,0,21,baseline
1776429923556,1,120,121,36,0,36,baseline
1776429923556,1,119,121,54,0,54,baseline
1776429923605,1,124,124,20,0,20,baseline
1776429923605,1,123,124,36,0,36,baseline
1776429923605,1,122,124,52,0,52,baseline
1776429923657,1,128,128,5,0,5,baseline
1776429923657,1,127,128,21,0,21,baseline
1776429923657,1,126,128,39,0,39,baseline
1776429923657,1,125,128,54,0,54,baseline
1776429923706,1,130,130,21,0,21,baseline
1776429923706,1,129,130,36,0,36,baseline
1776429923755,1,133,133,21,0,21,baseline
1776429923755,1,132,133,36,0,36,baseline
1776429923755,1,131,133,52,0,52,baseline
1776429923804,1,137,137,3,0,3,baseline
1776429923804,1,136,137,19,0,19,baseline
1776429923804,1,135,137,34,0,34,baseline
1776429923804,1,134,137,52,0,52,baseline
1776429923856,1,140,140,3,0,3,baseline
1776429923856,1,139,140,21,0,21,baseline
1776429923856,1,138,140,37,0,37,baseline
1776429923907,1,143,143,6,0,6,baseline
1776429923907,1,142,143,21,0,21,baseline
1776429923907,1,141,143,39,0,39,baseline
1776429923953,1,145,145,18,0,18,baseline
1776429923953,1,144,145,34,0,34,baseline
1776429924003,1,148,148,18,0,18,baseline
1776429924003,1,147,148,35,0,35,baseline
1776429924003,1,146,148,50,0,50,baseline
1776429924055,1,151,151,20,0,20,baseline
1776429924055,1,150,151,37,0,37,baseline
1776429924055,1,149,151,52,0,52,baseline
1776429924105,1,154,154,20,0,20,baseline
1776429924105,1,153,154,35,0,35,baseline
1776429924105,1,152,154,53,0,53,baseline
1776429924155,1,157,157,20,0,20,baseline
1776429924155,1,156,157,35,0,35,baseline
1776429924155,1,155,157,53,0,53,baseline
1776429924205,1,160,160,20,0,20,baseline
1776429924205,1,159,160,35,0,35,baseline
1776429924205,1,158,160,53,0,53,baseline
1776429924255,1,163,163,20,0,20,baseline
1776429924255,1,162,163,35,0,35,baseline
1776429924255,1,161,163,52,0,52,baseline
1776429924305,1,167,167,2,0,2,baseline
1776429924305,1,166,167,20,0,20,baseline
1776429924305,1,165,167,35,0,35,baseline
1776429924305,1,164,167,53,0,53,baseline
1776429924356,1,169,169,20,0,20,baseline
1776429924356,1,168,169,38,0,38,baseline
1776429924405,1,172,172,18,0,18,baseline
1776429924405,1,171,172,36,0,36,baseline
1776429924405,1,170,172,52,0,52,baseline
1776429924454,1,176,176,3,0,3,baseline
1776429924454,1,175,176,18,0,18,baseline
1776429924454,1,174,176,36,0,36,baseline
1776429924454,1,173,176,52,0,52,baseline
1776429924507,1,179,179,6,0,6,baseline
1776429924507,1,178,179,20,0,20,baseline
1776429924507,1,177,179,38,0,38,baseline
1776429924555,1,182,182,3,0,3,baseline
1776429924555,1,181,182,20,0,20,baseline
1776429924555,1,180,182,36,0,36,baseline
1776429924605,1,185,185,3,0,3,baseline
1776429924605,1,184,185,20,0,20,baseline
1776429924605,1,183,185,36,0,36,baseline
1776429924655,1,187,187,20,0,20,baseline
1776429924655,1,186,187,35,0,35,baseline
1776429924706,1,191,191,3,0,3,baseline
1776429924706,1,190,191,21,0,21,baseline
1776429924706,1,189,191,38,0,38,baseline
1776429924706,1,188,191,53,0,53,baseline
1776429924756,1,194,194,5,0,5,baseline
1776429924756,1,193,194,20,0,20,baseline
1776429924756,1,192,194,38,0,38,baseline
1776429924807,1,197,197,5,0,5,baseline
1776429924807,1,196,197,21,0,21,baseline
1776429924807,1,195,197,38,0,38,baseline
1776429924855,1,200,200,3,0,3,baseline
1776429924855,1,199,200,20,0,20,baseline
1776429924855,1,198,200,36,0,36,baseline
1776429924906,1,203,203,3,0,3,baseline
1776429924906,1,202,203,21,0,21,baseline
1776429924906,1,201,203,37,0,37,baseline
1776429924954,1,206,206,3,0,3,baseline
1776429924954,1,205,206,18,0,18,baseline
1776429924954,1,204,206,36,0,36,baseline
1776429925005,1,208,208,18,0,18,baseline
1776429925005,1,207,208,36,0,36,baseline
1776429925055,1,212,212,3,0,3,baseline
1776429925055,1,211,212,19,0,19,baseline
1776429925055,1,210,212,37,0,37,baseline
1776429925055,1,209,212,53,0,53,baseline
1776429925103,1,214,214,18,0,18,baseline
1776429925103,1,213,214,33,0,33,baseline
1776429925155,1,218,218,3,0,3,baseline
1776429925155,1,217,218,18,0,18,baseline
1776429925155,1,216,218,36,0,36,baseline
1776429925155,1,215,218,52,0,52,baseline
1776429925203,1,220,220,18,0,18,baseline
1776429925203,1,219,220,33,0,33,baseline
1776429925256,1,224,224,5,0,5,baseline
1776429925256,1,223,224,20,0,20,baseline
1776429925256,1,222,224,38,0,38,baseline
1776429925256,1,221,224,53,0,53,baseline
1776429925306,1,226,226,21,0,21,baseline
1776429925306,1,225,226,37,0,37,baseline
1776429925354,1,229,229,19,0,19,baseline
1776429925354,1,228,229,36,0,36,baseline
1776429925354,1,227,229,51,0,51,baseline
1776429925407,1,233,233,5,0,5,baseline
1776429925407,1,232,233,21,0,21,baseline
1776429925407,1,231,233,38,0,38,baseline
1776429925407,1,230,233,53,0,53,baseline
1776429925457,1,236,236,6,0,6,baseline
1776429925457,1,235,236,21,0,21,baseline
1776429925457,1,234,236,39,0,39,baseline
1776429925505,1,239,239,3,0,3,baseline
1776429925505,1,238,239,20,0,20,baseline
1776429925505,1,237,239,36,0,36,baseline
1776429925555,1,241,241,19,0,19,baseline
1776429925555,1,240,241,37,0,37,baseline
1776429925607,1,245,245,6,0,6,baseline
1776429925607,1,244,245,21,0,21,baseline
1776429925607,1,243,245,39,0,39,baseline
1776429925607,1,242,245,55,0,55,baseline
1776429925655,1,247,247,20,0,20,baseline
1776429925655,1,246,247,36,0,36,baseline
1776429925704,1,251,251,3,0,3,baseline
1776429925704,1,250,251,19,0,19,baseline
1776429925704,1,249,251,36,0,36,baseline
1776429925704,1,248,251,52,0,52,baseline
1776429925755,1,253,253,21,0,21,baseline
1776429925755,1,252,253,36,0,36,baseline
1776429925804,1,257,257,3,0,3,baseline
1776429925804,1,256,257,18,0,18,baseline
1776429925804,1,255,257,36,0,36,baseline
1776429925804,1,254,257,52,0,52,baseline
1776429925853,1,259,259,18,0,18,baseline
1776429925853,1,258,259,33,0,33,baseline
1776429925905,1,263,263,2,0,2,baseline
1776429925905,1,262,263,21,0,21,baseline
1776429925905,1,261,263,36,0,36,baseline
1776429925905,1,260,263,51,0,51,baseline
1776429925956,1,265,265,20,0,20,baseline
1776429925956,1,264,265,38,0,38,baseline
1776429926006,1,268,268,21,0,21,baseline
1776429926006,1,267,268,37,0,37,baseline
1776429926006,1,266,268,53,0,53,baseline
1776429926055,1,272,272,3,0,3,baseline
1776429926055,1,271,272,18,0,18,baseline
1776429926055,1,270,272,36,0,36,baseline
1776429926055,1,269,272,52,0,52,baseline
1776429926106,1,275,275,3,0,3,baseline
1776429926106,1,274,275,20,0,20,baseline
1776429926106,1,273,275,38,0,38,baseline
1776429926154,1,278,278,3,0,3,baseline
1776429926154,1,277,278,18,0,18,baseline
1776429926154,1,276,278,36,0,36,baseline
1776429926205,1,281,281,3,0,3,baseline
1776429926205,1,280,281,18,0,18,baseline
1776429926205,1,279,281,36,0,36,baseline
1776429926254,1,284,284,3,0,3,baseline
1776429926254,1,283,284,18,0,18,baseline
1776429926254,1,282,284,36,0,36,baseline
1776429926303,1,286,286,18,0,18,baseline
1776429926303,1,285,286,34,0,34,baseline
1776429926355,1,290,290,3,0,3,baseline
1776429926355,1,289,290,18,0,18,baseline
1776429926355,1,288,290,36,0,36,baseline
1776429926355,1,287,290,52,0,52,baseline
1776429926405,1,293,293,3,0,3,baseline
1776429926405,1,292,293,19,0,19,baseline
1776429926405,1,291,293,37,0,37,baseline
1776429926456,1,295,295,21,0,21,baseline
1776429926456,1,294,295,38,0,38,baseline
1776429926504,1,299,299,3,0,3,baseline
1776429926504,1,298,299,18,0,18,baseline
1776429926504,1,297,299,36,0,36,baseline
1776429926504,1,296,299,51,0,51,baseline
1776429926556,1,302,302,3,0,3,baseline
1776429926556,1,301,302,21,0,21,baseline
1776429926556,1,300,302,36,0,36,baseline
1776429926605,1,305,305,3,0,3,baseline
1776429926605,1,304,305,19,0,19,baseline
1776429926605,1,303,305,36,0,36,baseline
1776429926653,1,307,307,18,0,18,baseline
1776429926653,1,306,307,33,0,33,baseline
1776429926705,1,311,311,3,0,3,baseline
1776429926705,1,310,311,21,0,21,baseline
1776429926705,1,309,311,36,0,36,baseline
1776429926705,1,308,311,52,0,52,baseline
1776429926756,1,314,314,3,0,3,baseline
1776429926756,1,313,314,21,0,21,baseline
1776429926756,1,312,314,37,0,37,baseline
1776429926805,1,316,316,20,0,20,baseline
1776429926805,1,315,316,36,0,36,baseline
1776429926856,1,320,320,5,0,5,baseline
1776429926856,1,319,320,20,0,20,baseline
1776429926856,1,318,320,38,0,38,baseline
1776429926856,1,317,320,54,0,54,baseline
1776429926903,1,322,322,18,0,18,baseline
1776429926903,1,321,322,34,0,34,baseline
1776429926955,1,325,325,20,0,20,baseline
1776429926955,1,324,325,35,0,35,baseline
1776429926955,1,323,325,52,0,52,baseline
1776429927005,1,329,329,2,0,2,baseline
1776429927005,1,328,329,20,0,20,baseline
1776429927005,1,327,329,37,0,37,baseline
1776429927005,1,326,329,53,0,53,baseline
1776429927056,1,331,331,20,0,20,baseline
1776429927056,1,330,331,38,0,38,baseline
1776429927106,1,335,335,5,0,5,baseline
1776429927106,1,334,335,20,0,20,baseline
1776429927106,1,333,335,37,0,37,baseline
1776429927106,1,332,335,53,0,53,baseline
1776429927156,1,338,338,3,0,3,baseline
1776429927156,1,337,338,20,0,20,baseline
1776429927156,1,336,338,37,0,37,baseline
1776429927204,1,341,341,2,0,2,baseline
1776429927204,1,340,341,18,0,18,baseline
1776429927204,1,339,341,35,0,35,baseline
1776429927256,1,343,343,21,0,21,baseline
1776429927256,1,342,343,37,0,37,baseline
1776429927304,1,347,347,3,0,3,baseline
1776429927304,1,346,347,18,0,18,baseline
1776429927304,1,345,347,36,0,36,baseline
1776429927304,1,344,347,51,0,51,baseline
1776429927354,1,350,350,3,0,3,baseline
1776429927354,1,349,350,20,0,20,baseline
1776429927354,1,348,350,35,0,35,baseline
1776429927405,1,353,353,3,0,3,baseline
1776429927405,1,352,353,20,0,20,baseline
1776429927405,1,351,353,36,0,36,baseline
1776429927454,1,356,356,3,0,3,baseline
1776429927454,1,355,356,18,0,18,baseline
1776429927454,1,354,356,36,0,36,baseline
1776429927505,1,359,359,3,0,3,baseline
1776429927505,1,358,359,20,0,20,baseline
1776429927505,1,357,359,36,0,36,baseline
1776429927554,1,362,362,2,0,2,baseline
1776429927554,1,361,362,18,0,18,baseline
1776429927554,1,360,362,36,0,36,baseline
1776429927603,1,364,364,18,0,18,baseline
1776429927603,1,363,364,33,0,33,baseline
1776429927655,1,368,368,3,0,3,baseline
1776429927655,1,367,368,18,0,18,baseline
1776429927655,1,366,368,36,0,36,baseline
1776429927655,1,365,368,52,0,52,baseline
1776429927704,1,371,371,3,0,3,baseline
1776429927704,1,370,371,18,0,18,baseline
1776429927704,1,369,371,36,0,36,baseline
1776429927754,1,374,374,3,0,3,baseline
1776429927754,1,373,374,18,0,18,baseline
1776429927754,1,372,374,35,0,35,baseline
1776429927806,1,376,376,21,0,21,baseline
1776429927806,1,375,376,37,0,37,baseline
1776429927855,1,380,380,3,0,3,baseline
1776429927855,1,379,380,18,0,18,baseline
1776429927855,1,378,380,36,0,36,baseline
1776429927855,1,377,380,52,0,52,baseline
1776429927905,1,383,383,3,0,3,baseline
1776429927905,1,382,383,21,0,21,baseline
1776429927905,1,381,383,37,0,37,baseline
1776429927956,1,385,385,20,0,20,baseline
