wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776429920969,1,0,0,0,0
1776429921969,61,2,920,20,50
1776429922971,121,2,3306,40,171
1776429923972,181,2,5860,60,291
1776429924973,241,2,8446,80,411
1776429925974,301,2,10972,100,532
1776429926975,361,2,13500,120,651
1776429927977,421,2,16090,140,772
1776429928979,481,2,18678,160,892
1776429929981,541,2,21194,180,1012
1776429930983,601,2,23724,200,1132
1776429931985,661,2,26242,220,1252
1776429932987,722,2,28774,240,1373
1776429933989,782,2,31332,260,1493
1776429934989,842,2,33772,280,1613
1776429935989,902,2,36318,300,1733
1776429936991,962,2,38938,320,1853
1776429937992,1022,2,41480,340,1973
1776429938992,1082,2,44054,360,2094
1776429939994,1142,2,46726,380,2214
1776429940996,1202,2,49416,400,2334
1776429941998,1262,2,52094,420,2454
1776429942999,1322,2,54768,440,2574
1776429943999,1382,2,57414,460,2694
1776429945001,1442,2,60100,480,2814
1776429946001,1502,2,62806,500,2934
1776429947002,1562,2,65474,520,3054
1776429948002,1623,2,68244,541,3174
1776429949004,1683,2,70932,561,3295
1776429950004,1743,2,73644,581,3415
1776429951005,1803,2,76322,601,3535
1776429952005,1863,2,78964,621,3655
1776429953006,1923,2,81656,641,3775
1776429954006,1983,2,84354,661,3895
1776429955008,2043,2,87012,681,4015
1776429956009,2103,2,89706,701,4136
1776429957011,2163,2,92366,721,4256
1776429958012,2223,2,95058,741,4376
1776429959012,2283,2,97774,761,4496
1776429960013,2343,2,100400,781,4616
1776429961013,2403,2,103040,801,4736
1776429962015,2463,2,105776,821,4856
1776429963016,2523,2,108454,841,4976
1776429964017,2583,2,111086,861,5096
1776429965017,2643,2,113768,881,5216
1776429966018,2703,2,116458,901,5337
1776429967018,2763,2,119142,921,5456
1776429968018,2823,2,121814,941,5576
1776429969019,2884,2,124462,961,5697
1776429970019,2944,2,127142,981,5816
1776429971019,3004,2,129836,1001,5937
1776429972020,3064,2,132490,1021,6057
1776429973021,3124,2,135130,1041,6177
1776429974022,3184,2,137836,1061,6297
1776429975022,3244,2,140554,1081,6417
1776429976023,3304,2,143216,1101,6537
1776429977025,3364,2,145872,1121,6657
1776429978026,3424,2,148594,1141,6778
1776429979028,3484,2,151276,1161,6898
1776429980028,3544,2,153968,1181,7018
1776429981029,3604,2,156660,1201,7138
1776429982031,3664,0,157923,1221,7200
