wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776429610833,1,0,0,0,0
1776429611834,61,2,845,20,50
1776429612834,121,2,2885,40,170
1776429613834,181,2,4925,60,290
1776429614834,241,2,6965,80,410
1776429615834,301,2,9005,100,530
1776429616836,361,2,11045,120,650
1776429617836,421,2,13085,140,770
1776429618836,481,2,15125,160,890
1776429619836,541,2,17165,180,1010
1776429620836,601,2,19205,200,1130
1776429621836,661,2,21245,220,1250
1776429622836,721,2,23285,240,1370
1776429623836,781,2,25325,260,1490
1776429624836,841,2,27365,280,1610
1776429625836,901,2,29405,300,1730
1776429626836,961,2,31445,320,1850
1776429627836,1021,2,33485,340,1970
1776429628836,1081,2,35525,360,2090
1776429629836,1141,2,37565,380,2210
1776429630836,1201,2,39605,400,2330
1776429631836,1261,2,41645,420,2450
1776429632836,1321,2,43685,440,2570
1776429633836,1381,2,45725,460,2690
1776429634836,1441,2,47765,480,2810
1776429635836,1501,2,49805,500,2930
1776429636836,1561,2,51845,520,3050
1776429637836,1621,2,53885,540,3170
1776429638836,1681,2,55925,560,3290
1776429639836,1741,2,57965,580,3410
1776429640836,1801,2,60005,600,3530
1776429641836,1861,2,62045,620,3650
1776429642836,1921,2,64085,640,3770
1776429643836,1981,2,66125,660,3890
1776429644836,2041,2,68165,680,4010
1776429645836,2101,2,70205,700,4130
1776429646836,2161,2,72245,720,4250
1776429647836,2221,2,74285,740,4370
1776429648836,2281,2,76325,760,4490
1776429649836,2341,2,78365,780,4610
1776429650836,2401,2,80405,800,4730
1776429651836,2461,2,82445,820,4850
1776429652838,2521,2,84485,840,4970
1776429653838,2581,2,86525,860,5090
1776429654838,2641,2,88565,880,5210
1776429655838,2701,2,90605,900,5330
1776429656838,2761,2,92645,920,5450
1776429657838,2821,2,94685,940,5570
1776429658838,2881,2,96725,960,5690
1776429659839,2941,2,98765,980,5810
1776429660839,3001,2,100805,1000,5930
1776429661841,3061,2,102845,1020,6050
1776429662841,3121,2,104885,1040,6170
1776429663841,3181,2,106925,1060,6290
1776429664841,3241,2,108965,1080,6410
1776429665841,3301,2,111005,1100,6530
1776429666841,3361,2,113045,1120,6650
1776429667841,3421,2,115085,1140,6770
1776429668841,3481,2,117125,1160,6890
1776429669841,3541,2,119165,1180,7010
1776429670841,3601,2,121205,1200,7130
1776429671841,3661,0,122356,1220,7200
