wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776429673455,2,0,0,1,0,0
1776429674456,2,96,1020,61,50,20
1776429675457,2,156,2040,121,51,32
1776429676457,2,216,3060,181,53,32
1776429677456,2,276,4080,241,50,32
1776429678456,2,336,5100,301,52,32
1776429679457,2,396,6120,361,53,32
1776429680457,2,456,7140,421,50,32
1776429681457,2,516,8160,481,50,32
1776429682458,2,576,9180,541,52,32
1776429683457,2,636,10200,601,50,32
1776429684456,2,696,11220,661,51,32
1776429685456,2,756,12240,721,51,32
1776429686457,2,816,13260,781,51,32
1776429687456,2,876,14280,841,50,32
1776429688457,2,936,15300,901,50,32
1776429689455,2,996,16320,961,51,32
1776429690455,2,1056,17340,1021,51,32
1776429691457,2,1116,18360,1081,53,32
1776429692457,2,1176,19380,1141,52,32
1776429693457,2,1236,20400,1201,53,32
1776429694457,2,1296,21420,1261,50,32
1776429695456,2,1356,22440,1321,50,32
1776429696455,2,1416,23460,1381,49,32
1776429697457,2,1476,24480,1441,49,32
1776429698457,2,1536,25500,1501,52,32
1776429699456,2,1596,26520,1561,50,32
1776429700456,2,1656,27540,1621,52,32
1776429701456,2,1716,28560,1681,50,32
1776429702456,2,1776,29580,1741,50,32
1776429703456,2,1836,30600,1801,51,32
1776429704457,2,1896,31620,1861,48,32
1776429705456,2,1956,32640,1921,51,32
1776429706456,2,2016,33660,1981,52,32
1776429707456,2,2076,34680,2041,52,32
1776429708457,2,2136,35700,2101,53,32
1776429709456,2,2196,36720,2161,51,32
1776429710457,2,2256,37740,2221,53,32
1776429711457,2,2316,38760,2281,48,32
1776429712455,2,2376,39780,2341,50,32
1776429713457,2,2436,40800,2401,50,32
1776429714455,2,2496,41820,2461,49,32
1776429715456,2,2556,42840,2521,51,32
1776429716456,2,2616,43860,2581,49,32
1776429717455,2,2676,44880,2641,51,32
1776429718455,2,2736,45900,2701,50,32
1776429719457,2,2796,46920,2761,53,32
1776429720456,2,2856,47940,2821,52,32
1776429721456,2,2916,48960,2881,50,32
1776429722456,2,2976,49980,2941,51,32
1776429723457,2,3036,51000,3001,52,32
1776429724457,2,3096,52020,3061,48,32
1776429725455,2,3156,53040,3121,50,32
1776429726457,2,3216,54060,3181,52,32
1776429727456,2,3276,55080,3241,51,32
1776429728457,2,3336,56100,3301,53,32
1776429729456,2,3396,57120,3361,50,32
1776429730456,2,3456,58140,3421,49,32
1776429731456,2,3516,59160,3481,51,32
1776429732455,2,3576,60180,3541,50,32
