wall_time_ms,player_id,input_seq,ack_seq,rtt_ms,reconciliation_error_px,perceived_delay_ms,mode
1776429735477,1,2,2,12,3.84204,0,optimized_pred_on
1776429735477,1,1,2,29,3.84204,0,optimized_pred_on
1776429735527,1,5,5,12,0.132874,0,optimized_pred_on
1776429735527,1,4,5,27,0.132874,0,optimized_pred_on
1776429735527,1,3,5,45,0.132874,0,optimized_pred_on
1776429735577,1,8,8,12,0.0067749,0,optimized_pred_on
1776429735577,1,7,8,27,0.0067749,0,optimized_pred_on
1776429735577,1,6,8,45,0.0067749,0,optimized_pred_on
1776429735625,1,11,11,10,0.11853,0,optimized_pred_on
1776429735625,1,10,11,25,0.11853,0,optimized_pred_on
1776429735625,1,9,11,43,0.11853,0,optimized_pred_on
1776429735676,1,14,14,10,0.316309,0,optimized_pred_on
1776429735676,1,13,14,26,0.316309,0,optimized_pred_on
1776429735676,1,12,14,43,0.316309,0,optimized_pred_on
1776429735726,1,17,17,10,0.0399431,0,optimized_pred_on
1776429735726,1,16,17,28,0.0399431,0,optimized_pred_on
1776429735726,1,15,17,43,0.0399431,0,optimized_pred_on
1776429735776,1,20,20,10,0.0306209,0,optimized_pred_on
1776429735776,1,19,20,28,0.0306209,0,optimized_pred_on
1776429735776,1,18,20,42,0.0306209,0,optimized_pred_on
1776429735826,1,23,23,10,0.131676,0,optimized_pred_on
1776429735826,1,22,23,27,0.131676,0,optimized_pred_on
1776429735826,1,21,23,45,0.131676,0,optimized_pred_on
1776429735876,1,26,26,9,0.0651691,0,optimized_pred_on
1776429735876,1,25,26,27,0.0651691,0,optimized_pred_on
1776429735876,1,24,26,43,0.0651691,0,optimized_pred_on
1776429735925,1,29,29,9,0.180575,0,optimized_pred_on
1776429735925,1,28,29,26,0.180575,0,optimized_pred_on
1776429735925,1,27,29,41,0.180575,0,optimized_pred_on
1776429735975,1,32,32,10,0.221985,0,optimized_pred_on
1776429735975,1,31,32,25,0.221985,0,optimized_pred_on
1776429735975,1,30,32,42,0.221985,0,optimized_pred_on
1776429736027,1,35,35,10,0.506744,0,optimized_pred_on
1776429736027,1,34,35,27,0.506744,0,optimized_pred_on
1776429736027,1,33,35,44,0.506744,0,optimized_pred_on
1776429736077,1,38,38,12,0.552017,0,optimized_pred_on
1776429736077,1,37,38,27,0.552017,0,optimized_pred_on
1776429736077,1,36,38,45,0.552017,0,optimized_pred_on
1776429736127,1,41,41,12,0.00878276,0,optimized_pred_on
1776429736127,1,40,41,27,0.00878276,0,optimized_pred_on
1776429736127,1,39,41,45,0.00878276,0,optimized_pred_on
1776429736177,1,44,44,12,0.0150191,0,optimized_pred_on
1776429736177,1,43,44,27,0.0150191,0,optimized_pred_on
1776429736177,1,42,44,45,0.0150191,0,optimized_pred_on
1776429736227,1,47,47,10,0.528992,0,optimized_pred_on
1776429736227,1,46,47,27,0.528992,0,optimized_pred_on
1776429736227,1,45,47,45,0.528992,0,optimized_pred_on
1776429736277,1,50,50,12,0.526208,0,optimized_pred_on
1776429736277,1,49,50,27,0.526208,0,optimized_pred_on
1776429736277,1,48,50,45,0.526208,0,optimized_pred_on
1776429736325,1,53,53,10,0.176342,0,optimized_pred_on
1776429736325,1,52,53,25,0.176342,0,optimized_pred_on
1776429736325,1,51,53,43,0.176342,0,optimized_pred_on
1776429736376,1,56,56,10,0.152344,0,optimized_pred_on
1776429736376,1,55,56,26,0.152344,0,optimized_pred_on
1776429736376,1,54,56,44,0.152344,0,optimized_pred_on
1776429736426,1,59,59,10,0.194427,0,optimized_pred_on
1776429736426,1,58,59,27,0.194427,0,optimized_pred_on
1776429736426,1,57,59,42,0.194427,0,optimized_pred_on
1776429736476,1,62,62,10,0.0154419,0,optimized_pred_on
1776429736476,1,61,62,27,0.0154419,0,optimized_pred_on
1776429736476,1,60,62,45,0.0154419,0,optimized_pred_on
1776429736527,1,65,65,10,0.0721436,0,optimized_pred_on
1776429736527,1,64,65,28,0.0721436,0,optimized_pred_on
1776429736527,1,63,65,46,0.0721436,0,optimized_pred_on
1776429736577,1,68,68,10,0.00378418,0,optimized_pred_on
1776429736577,1,67,68,28,0.00378418,0,optimized_pred_on
1776429736577,1,66,68,45,0.00378418,0,optimized_pred_on
1776429736627,1,71,71,12,0.506592,0,optimized_pred_on
1776429736627,1,70,71,27,0.506592,0,optimized_pred_on
1776429736627,1,69,71,45,0.506592,0,optimized_pred_on
1776429736676,1,74,74,9,0.565308,0,optimized_pred_on
1776429736676,1,73,74,27,0.565308,0,optimized_pred_on
1776429736676,1,72,74,44,0.565308,0,optimized_pred_on
1776429736726,1,77,77,10,0.117683,0,optimized_pred_on
1776429736726,1,76,77,27,0.117683,0,optimized_pred_on
1776429736726,1,75,77,43,0.117683,0,optimized_pred_on
1776429736776,1,80,80,10,0.192918,0,optimized_pred_on
1776429736776,1,79,80,26,0.192918,0,optimized_pred_on
1776429736776,1,78,80,43,0.192918,0,optimized_pred_on
1776429736825,1,83,83,9,0.0576596,0,optimized_pred_on
1776429736825,1,82,83,27,0.0576596,0,optimized_pred_on
1776429736825,1,81,83,42,0.0576596,0,optimized_pred_on
1776429736875,1,86,86,9,0.0567101,0,optimized_pred_on
1776429736875,1,85,86,27,0.0567101,0,optimized_pred_on
1776429736875,1,84,86,42,0.0567101,0,optimized_pred_on
1776429736925,1,89,89,10,0.147861,0,optimized_pred_on
1776429736925,1,88,89,25,0.147861,0,optimized_pred_on
1776429736925,1,87,89,42,0.147861,0,optimized_pred_on
1776429736976,1,92,92,10,0.11998,0,optimized_pred_on
1776429736976,1,91,92,26,0.11998,0,optimized_pred_on
1776429736976,1,90,92,43,0.11998,0,optimized_pred_on
1776429737027,1,95,95,12,0.163743,0,optimized_pred_on
1776429737027,1,94,95,29,0.163743,0,optimized_pred_on
1776429737027,1,93,95,44,0.163743,0,optimized_pred_on
1776429737076,1,98,98,10,0.378931,0,optimized_pred_on
1776429737076,1,97,98,27,0.378931,0,optimized_pred_on
1776429737076,1,96,98,44,0.378931,0,optimized_pred_on
1776429737126,1,101,101,10,0.0522216,0,optimized_pred_on
1776429737126,1,100,101,27,0.0522216,0,optimized_pred_on
1776429737126,1,99,101,44,0.0522216,0,optimized_pred_on
1776429737176,1,104,104,10,0.0455752,0,optimized_pred_on
1776429737176,1,103,104,27,0.0455752,0,optimized_pred_on
1776429737176,1,102,104,42,0.0455752,0,optimized_pred_on
1776429737226,1,107,107,9,0.0299519,0,optimized_pred_on
1776429737226,1,106,107,27,0.0299519,0,optimized_pred_on
1776429737226,1,105,107,45,0.0299519,0,optimized_pred_on
1776429737277,1,110,110,11,0.156406,0,optimized_pred_on
1776429737277,1,109,110,28,0.156406,0,optimized_pred_on
1776429737277,1,108,110,43,0.156406,0,optimized_pred_on
1776429737326,1,113,113,10,0.00543795,0,optimized_pred_on
1776429737326,1,112,113,28,0.00543795,0,optimized_pred_on
1776429737326,1,111,113,44,0.00543795,0,optimized_pred_on
1776429737375,1,116,116,9,0.201467,0,optimized_pred_on
1776429737375,1,115,116,27,0.201467,0,optimized_pred_on
1776429737375,1,114,116,42,0.201467,0,optimized_pred_on
1776429737424,1,119,119,7,0.309204,0,optimized_pred_on
1776429737424,1,118,119,26,0.309204,0,optimized_pred_on
1776429737424,1,117,119,41,0.309204,0,optimized_pred_on
1776429737477,1,122,122,10,0.00811768,0,optimized_pred_on
1776429737477,1,121,122,28,0.00811768,0,optimized_pred_on
1776429737477,1,120,122,45,0.00811768,0,optimized_pred_on
1776429737527,1,125,125,10,0.0286865,0,optimized_pred_on
1776429737527,1,124,125,28,0.0286865,0,optimized_pred_on
1776429737527,1,123,125,45,0.0286865,0,optimized_pred_on
1776429737577,1,128,128,12,0.577515,0,optimized_pred_on
1776429737577,1,127,128,27,0.577515,0,optimized_pred_on
1776429737577,1,126,128,45,0.577515,0,optimized_pred_on
1776429737627,1,131,131,10,0.497009,0,optimized_pred_on
1776429737627,1,130,131,28,0.497009,0,optimized_pred_on
1776429737627,1,129,131,45,0.497009,0,optimized_pred_on
1776429737677,1,134,134,12,0.494629,0,optimized_pred_on
1776429737677,1,133,134,27,0.494629,0,optimized_pred_on
1776429737677,1,132,134,45,0.494629,0,optimized_pred_on
1776429737725,1,137,137,10,0.122681,0,optimized_pred_on
1776429737725,1,136,137,25,0.122681,0,optimized_pred_on
1776429737725,1,135,137,42,0.122681,0,optimized_pred_on
1776429737775,1,140,140,9,0.227848,0,optimized_pred_on
1776429737775,1,139,140,27,0.227848,0,optimized_pred_on
1776429737775,1,138,140,42,0.227848,0,optimized_pred_on
1776429737826,1,143,143,11,0.0565375,0,optimized_pred_on
1776429737826,1,142,143,25,0.0565375,0,optimized_pred_on
1776429737826,1,141,143,43,0.0565375,0,optimized_pred_on
1776429737876,1,146,146,10,0.268531,0,optimized_pred_on
1776429737876,1,145,146,27,0.268531,0,optimized_pred_on
1776429737876,1,144,146,42,0.268531,0,optimized_pred_on
1776429737926,1,149,149,10,0.0943442,0,optimized_pred_on
1776429737926,1,148,149,27,0.0943442,0,optimized_pred_on
1776429737926,1,147,149,45,0.0943442,0,optimized_pred_on
1776429737977,1,152,152,10,0.204657,0,optimized_pred_on
1776429737977,1,151,152,28,0.204657,0,optimized_pred_on
1776429737977,1,150,152,46,0.204657,0,optimized_pred_on
1776429738027,1,155,155,10,0.00811377,0,optimized_pred_on
1776429738027,1,154,155,27,0.00811377,0,optimized_pred_on
1776429738027,1,153,155,45,0.00811377,0,optimized_pred_on
1776429738077,1,158,158,10,0.00664639,0,optimized_pred_on
1776429738077,1,157,158,28,0.00664639,0,optimized_pred_on
1776429738077,1,156,158,45,0.00664639,0,optimized_pred_on
1776429738125,1,161,161,10,0.496062,0,optimized_pred_on
1776429738125,1,160,161,25,0.496062,0,optimized_pred_on
1776429738125,1,159,161,43,0.496062,0,optimized_pred_on
1776429738177,1,164,164,12,0.00586954,0,optimized_pred_on
1776429738177,1,163,164,27,0.00586954,0,optimized_pred_on
1776429738177,1,162,164,45,0.00586954,0,optimized_pred_on
1776429738225,1,167,167,9,0.15468,0,optimized_pred_on
1776429738225,1,166,167,25,0.15468,0,optimized_pred_on
1776429738225,1,165,167,43,0.15468,0,optimized_pred_on
1776429738275,1,170,170,10,0.125375,0,optimized_pred_on
1776429738275,1,169,170,27,0.125375,0,optimized_pred_on
1776429738275,1,168,170,42,0.125375,0,optimized_pred_on
1776429738325,1,173,173,10,0.0485532,0,optimized_pred_on
1776429738325,1,172,173,27,0.0485532,0,optimized_pred_on
1776429738325,1,171,173,42,0.0485532,0,optimized_pred_on
1776429738376,1,176,176,10,0.269287,0,optimized_pred_on
1776429738376,1,175,176,25,0.269287,0,optimized_pred_on
1776429738376,1,174,176,43,0.269287,0,optimized_pred_on
1776429738427,1,179,179,10,0.376115,0,optimized_pred_on
1776429738427,1,178,179,28,0.376115,0,optimized_pred_on
1776429738427,1,177,179,45,0.376115,0,optimized_pred_on
1776429738476,1,182,182,9,0.017334,0,optimized_pred_on
1776429738476,1,181,182,27,0.017334,0,optimized_pred_on
1776429738476,1,180,182,44,0.017334,0,optimized_pred_on
1776429738526,1,185,185,10,0.147156,0,optimized_pred_on
1776429738526,1,184,185,27,0.147156,0,optimized_pred_on
1776429738526,1,183,185,45,0.147156,0,optimized_pred_on
1776429738577,1,188,188,10,0.10376,0,optimized_pred_on
1776429738577,1,187,188,28,0.10376,0,optimized_pred_on
1776429738577,1,186,188,46,0.10376,0,optimized_pred_on
1776429738627,1,191,191,12,0.476044,0,optimized_pred_on
1776429738627,1,190,191,27,0.476044,0,optimized_pred_on
1776429738627,1,189,191,45,0.476044,0,optimized_pred_on
1776429738676,1,194,194,10,0.175964,0,optimized_pred_on
1776429738676,1,193,194,26,0.175964,0,optimized_pred_on
1776429738676,1,192,194,44,0.175964,0,optimized_pred_on
1776429738726,1,197,197,10,0.0787354,0,optimized_pred_on
1776429738726,1,196,197,28,0.0787354,0,optimized_pred_on
1776429738726,1,195,197,43,0.0787354,0,optimized_pred_on
1776429738775,1,200,200,10,0.165833,0,optimized_pred_on
1776429738775,1,199,200,27,0.165833,0,optimized_pred_on
1776429738775,1,198,200,42,0.165833,0,optimized_pred_on
1776429738827,1,203,203,12,0.217909,0,optimized_pred_on
1776429738827,1,202,203,27,0.217909,0,optimized_pred_on
1776429738827,1,201,203,44,0.217909,0,optimized_pred_on
1776429738876,1,206,206,10,0.193867,0,optimized_pred_on
1776429738876,1,205,206,26,0.193867,0,optimized_pred_on
1776429738876,1,204,206,44,0.193867,0,optimized_pred_on
1776429738927,1,209,209,11,0.198054,0,optimized_pred_on
1776429738927,1,208,209,28,0.198054,0,optimized_pred_on
1776429738927,1,207,209,44,0.198054,0,optimized_pred_on
1776429738976,1,212,212,10,0.0244492,0,optimized_pred_on
1776429738976,1,211,212,28,0.0244492,0,optimized_pred_on
1776429738976,1,210,212,44,0.0244492,0,optimized_pred_on
1776429739027,1,215,215,10,0.0755487,0,optimized_pred_on
1776429739027,1,214,215,28,0.0755487,0,optimized_pred_on
1776429739027,1,213,215,45,0.0755487,0,optimized_pred_on
1776429739077,1,218,218,10,0.0853241,0,optimized_pred_on
1776429739077,1,217,218,27,0.0853241,0,optimized_pred_on
1776429739077,1,216,218,45,0.0853241,0,optimized_pred_on
1776429739126,1,221,221,10,0.347684,0,optimized_pred_on
1776429739126,1,220,221,26,0.347684,0,optimized_pred_on
1776429739126,1,219,221,44,0.347684,0,optimized_pred_on
1776429739176,1,224,224,9,0.225244,0,optimized_pred_on
1776429739176,1,223,224,27,0.225244,0,optimized_pred_on
1776429739176,1,222,224,42,0.225244,0,optimized_pred_on
1776429739227,1,227,227,10,0.10822,0,optimized_pred_on
