wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776430169729,2,0,0,1,0,0
1776430170729,2,93,1141,61,152,0
1776430171731,2,153,2382,121,152,0
1776430172729,2,213,3700,181,154,0
1776430173730,2,273,4975,241,150,0
1776430174729,2,333,6222,301,154,0
1776430175731,2,393,7512,361,151,0
1776430176730,2,453,8795,421,153,0
1776430177730,2,513,10064,481,153,0
1776430178729,2,573,11312,541,152,0
1776430179730,2,633,12575,601,155,0
1776430180731,2,693,13826,661,150,0
1776430181729,2,753,15105,721,149,0
1776430182729,2,813,16303,781,152,0
1776430183730,2,873,17545,841,151,0
1776430184729,2,933,18833,901,154,0
1776430185730,2,993,20118,961,150,0
1776430186731,2,1053,21419,1021,152,0
1776430187730,2,1113,22740,1081,150,0
1776430188730,2,1173,24083,1141,153,0
1776430189730,2,1233,25432,1201,153,0
1776430190730,2,1293,26751,1261,150,0
1776430191731,2,1353,28083,1321,153,0
1776430192730,2,1413,29408,1381,154,0
1776430193730,2,1473,30742,1441,153,0
1776430194729,2,1533,32087,1501,152,0
1776430195729,2,1593,33351,1561,150,0
1776430196730,2,1653,34660,1621,153,0
1776430197730,2,1713,36026,1681,153,0
1776430198730,2,1773,37355,1741,152,0
1776430199730,2,1833,38662,1801,153,0
1776430200730,2,1893,40008,1861,153,0
1776430201730,2,1953,41352,1921,150,0
1776430202731,2,2013,42695,1981,153,0
1776430203730,2,2073,43995,2041,153,0
1776430204729,2,2133,45320,2101,153,0
1776430205730,2,2193,46624,2161,153,0
1776430206730,2,2253,47948,2221,152,0
1776430207730,2,2313,49201,2281,152,0
1776430208729,2,2373,50506,2341,153,0
1776430209730,2,2433,51846,2401,150,0
1776430210730,2,2493,53206,2461,152,0
1776430211729,2,2553,54547,2521,152,0
1776430212730,2,2613,55870,2581,150,0
1776430213730,2,2673,57229,2641,153,0
1776430214730,2,2733,58583,2701,152,0
1776430215730,2,2793,59922,2761,152,0
1776430216729,2,2853,61242,2821,150,0
1776430217731,2,2913,62576,2881,151,0
1776430218730,2,2973,63919,2941,152,0
1776430219729,2,3033,65278,3001,153,0
1776430220729,2,3093,66594,3061,153,0
1776430221729,2,3153,67918,3121,152,0
1776430222730,2,3213,69247,3181,151,0
1776430223730,2,3273,70590,3241,150,0
1776430224729,2,3333,71876,3301,152,0
1776430225731,2,3393,73190,3361,153,0
1776430226731,2,3453,74502,3421,152,0
1776430227731,2,3513,75847,3481,152,0
1776430228731,2,3573,77149,3541,152,0
