wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776430231159,1,0,0,0,0
1776430232161,61,2,842,20,44
1776430233161,121,2,3230,40,164
1776430234163,181,2,5776,60,284
1776430235165,241,2,8346,80,405
1776430236166,301,2,10886,100,525
1776430237168,361,2,13416,120,646
1776430238169,421,2,16006,140,766
1776430239170,481,2,18602,160,886
1776430240172,541,2,21136,180,1006
1776430241173,601,2,23672,200,1126
1776430242173,661,2,26204,220,1246
1776430243174,721,2,28746,240,1366
1776430244174,781,2,31322,260,1486
1776430245175,841,2,33694,280,1606
1776430246176,902,2,36186,300,1726
1776430247177,962,2,38802,320,1846
1776430248178,1022,2,41352,340,1966
1776430249178,1082,2,43868,360,2086
1776430250179,1142,2,46518,380,2206
1776430251179,1202,2,49178,400,2326
1776430252180,1262,2,51850,420,2446
1776430253180,1322,2,54500,440,2566
1776430254182,1382,2,57122,460,2687
1776430255183,1442,2,59800,480,2808
1776430256183,1502,2,62502,500,2928
1776430257184,1562,2,65164,520,3048
1776430258185,1622,2,67800,540,3168
1776430259186,1682,2,70504,560,3288
1776430260188,1742,2,73244,580,3408
1776430261190,1802,2,75886,600,3528
1776430262191,1862,2,78502,620,3648
1776430263193,1923,2,81330,641,3768
1776430264194,1983,2,84036,661,3888
1776430265194,2043,2,86712,681,4008
1776430266195,2103,2,89400,701,4128
1776430267195,2163,2,92042,721,4248
1776430268196,2223,2,94732,741,4368
1776430269196,2283,2,97432,761,4488
1776430270196,2343,2,100042,781,4608
1776430271198,2403,2,102682,801,4728
1776430272198,2463,2,105410,821,4849
1776430273200,2523,2,108090,841,4970
1776430274200,2583,2,110728,861,5090
1776430275200,2643,2,113400,881,5210
1776430276200,2703,2,116082,901,5330
1776430277200,2763,2,118776,921,5450
1776430278200,2823,2,121372,941,5570
1776430279202,2883,2,124020,961,5690
1776430280203,2943,2,126702,981,5810
1776430281204,3003,2,129406,1001,5930
1776430282206,3063,2,132098,1021,6050
1776430283206,3123,2,134746,1041,6170
1776430284207,3183,2,137432,1061,6290
1776430285207,3243,2,140182,1081,6410
1776430286207,3303,2,142842,1101,6530
1776430287209,3364,2,145472,1121,6650
1776430288209,3424,2,148172,1141,6770
1776430289209,3484,2,150856,1161,6890
1776430290209,3544,2,153552,1181,7010
1776430291210,3604,2,156226,1201,7130
1776430292210,3664,0,157489,1221,7194
