wall_time_ms,player_id,input_seq,ack_seq,rtt_ms,reconciliation_error_px,perceived_delay_ms,mode
1776430293876,1,2,2,106,0,106,baseline
1776430293876,1,1,2,123,0,123,baseline
1776430293926,1,5,5,105,0,105,baseline
1776430293926,1,4,5,123,0,123,baseline
1776430293926,1,3,5,138,0,138,baseline
1776430293976,1,8,8,105,0,105,baseline
1776430293976,1,7,8,123,0,123,baseline
1776430293976,1,6,8,138,0,138,baseline
1776430294027,1,11,11,106,0,106,baseline
1776430294027,1,10,11,123,0,123,baseline
1776430294027,1,9,11,141,0,141,baseline
1776430294078,1,14,14,107,0,107,baseline
1776430294078,1,13,14,124,0,124,baseline
1776430294078,1,12,14,142,0,142,baseline
1776430294126,1,16,16,122,0,122,baseline
1776430294126,1,15,16,140,0,140,baseline
1776430294177,1,20,20,107,0,107,baseline
1776430294177,1,19,20,122,0,122,baseline
1776430294177,1,18,20,140,0,140,baseline
1776430294177,1,17,20,155,0,155,baseline
1776430294227,1,23,23,106,0,106,baseline
1776430294227,1,22,23,124,0,124,baseline
1776430294227,1,21,23,139,0,139,baseline
1776430294275,1,26,26,103,0,103,baseline
1776430294275,1,25,26,121,0,121,baseline
1776430294275,1,24,26,137,0,137,baseline
1776430294326,1,29,29,106,0,106,baseline
1776430294326,1,28,29,121,0,121,baseline
1776430294326,1,27,29,139,0,139,baseline
1776430294376,1,32,32,106,0,106,baseline
1776430294376,1,31,32,121,0,121,baseline
1776430294376,1,30,32,139,0,139,baseline
1776430294426,1,35,35,105,0,105,baseline
1776430294426,1,34,35,123,0,123,baseline
1776430294426,1,33,35,138,0,138,baseline
1776430294473,1,37,37,120,0,120,baseline
1776430294473,1,36,37,135,0,135,baseline
1776430294527,1,41,41,107,0,107,baseline
1776430294527,1,40,41,124,0,124,baseline
1776430294527,1,39,41,139,0,139,baseline
1776430294527,1,38,41,156,0,156,baseline
1776430294578,1,44,44,107,0,107,baseline
1776430294578,1,43,44,124,0,124,baseline
1776430294578,1,42,44,140,0,140,baseline
1776430294627,1,47,47,106,0,106,baseline
