wall_time_ms,player_id,input_seq,ack_seq,rtt_ms,reconciliation_error_px,perceived_delay_ms,mode
1776429983793,1,1,1,114,3.99945,0,optimized_pred_on
1776429983843,1,4,4,113,0.0846558,0,optimized_pred_on
1776429983843,1,3,4,128,0.0846558,0,optimized_pred_on
1776429983843,1,2,4,146,0.0846558,0,optimized_pred_on
1776429983894,1,7,7,114,0.0759277,0,optimized_pred_on
1776429983894,1,6,7,129,0.0759277,0,optimized_pred_on
1776429983894,1,5,7,147,0.0759277,0,optimized_pred_on
1776429983944,1,10,10,114,0.0429077,0,optimized_pred_on
1776429983944,1,9,10,129,0.0429077,0,optimized_pred_on
1776429983944,1,8,10,146,0.0429077,0,optimized_pred_on
1776429983992,1,13,13,111,0.240601,0,optimized_pred_on
1776429983992,1,12,13,127,0.240601,0,optimized_pred_on
1776429983992,1,11,13,144,0.240601,0,optimized_pred_on
1776429984043,1,16,16,112,0.0137244,0,optimized_pred_on
1776429984043,1,15,16,129,0.0137244,0,optimized_pred_on
1776429984043,1,14,16,146,0.0137244,0,optimized_pred_on
1776429984093,1,19,19,111,0.0433742,0,optimized_pred_on
1776429984093,1,18,19,129,0.0433742,0,optimized_pred_on
1776429984093,1,17,19,146,0.0433742,0,optimized_pred_on
1776429984144,1,22,22,113,0.0796056,0,optimized_pred_on
1776429984144,1,21,22,130,0.0796056,0,optimized_pred_on
1776429984144,1,20,22,148,0.0796056,0,optimized_pred_on
1776429984192,1,25,25,111,0.0824972,0,optimized_pred_on
1776429984192,1,24,25,129,0.0824972,0,optimized_pred_on
1776429984192,1,23,25,144,0.0824972,0,optimized_pred_on
1776429984242,1,28,28,111,0.0669387,0,optimized_pred_on
1776429984242,1,27,28,129,0.0669387,0,optimized_pred_on
1776429984242,1,26,28,144,0.0669387,0,optimized_pred_on
1776429984294,1,31,31,112,0.0939558,0,optimized_pred_on
1776429984294,1,30,31,130,0.0939558,0,optimized_pred_on
1776429984294,1,29,31,148,0.0939558,0,optimized_pred_on
1776429984343,1,34,34,111,0.0575949,0,optimized_pred_on
1776429984343,1,33,34,129,0.0575949,0,optimized_pred_on
1776429984343,1,32,34,146,0.0575949,0,optimized_pred_on
1776429984395,1,37,37,113,0.0533222,0,optimized_pred_on
1776429984395,1,36,37,131,0.0533222,0,optimized_pred_on
1776429984395,1,35,37,148,0.0533222,0,optimized_pred_on
1776429984445,1,40,40,114,0.135107,0,optimized_pred_on
1776429984445,1,39,40,131,0.135107,0,optimized_pred_on
1776429984445,1,38,40,148,0.135107,0,optimized_pred_on
1776429984494,1,43,43,114,0.150472,0,optimized_pred_on
1776429984494,1,42,43,129,0.150472,0,optimized_pred_on
1776429984494,1,41,43,146,0.150472,0,optimized_pred_on
1776429984544,1,46,46,114,0.113571,0,optimized_pred_on
1776429984544,1,45,46,129,0.113571,0,optimized_pred_on
1776429984544,1,44,46,147,0.113571,0,optimized_pred_on
1776429984594,1,49,49,113,0.297232,0,optimized_pred_on
1776429984594,1,48,49,130,0.297232,0,optimized_pred_on
1776429984594,1,47,49,147,0.297232,0,optimized_pred_on
1776429984644,1,52,52,112,0.133869,0,optimized_pred_on
1776429984644,1,51,52,130,0.133869,0,optimized_pred_on
1776429984644,1,50,52,148,0.133869,0,optimized_pred_on
1776429984694,1,55,55,113,0.115967,0,optimized_pred_on
1776429984694,1,54,55,130,0.115967,0,optimized_pred_on
1776429984694,1,53,55,147,0.115967,0,optimized_pred_on
1776429984743,1,58,58,112,0.0740356,0,optimized_pred_on
