wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776430045710,1,0,0,1,0,0
1776430046711,1,96,998,61,147,19
1776430047712,1,156,2018,121,147,32
1776430048711,1,216,3038,181,149,32
1776430049712,1,276,4058,241,146,32
1776430050712,1,336,5078,301,148,32
1776430051712,1,396,6098,361,147,32
1776430052712,1,456,7118,421,146,32
1776430053711,1,516,8138,481,149,32
1776430054711,1,576,9158,541,147,32
1776430055710,1,636,10178,601,147,32
1776430056712,1,696,11198,661,147,32
1776430057711,1,756,12218,721,147,32
1776430058711,1,816,13238,781,148,32
1776430059712,1,876,14258,841,148,32
1776430060711,1,936,15278,901,150,32
1776430061712,1,996,16298,961,149,32
1776430062712,1,1056,17318,1021,148,32
1776430063712,1,1116,18338,1081,148,32
1776430064711,1,1176,19358,1141,147,32
1776430065711,1,1236,20378,1201,145,32
1776430066712,1,1296,21398,1261,146,32
1776430067713,1,1356,22418,1321,147,32
1776430068712,1,1416,23438,1381,145,32
1776430069711,1,1476,24458,1441,148,32
1776430070711,1,1536,25478,1501,147,32
1776430071711,1,1596,26498,1561,149,32
1776430072712,1,1656,27518,1621,148,32
1776430073711,1,1716,28538,1681,148,32
1776430074712,1,1776,29558,1741,149,32
1776430075711,1,1836,30578,1801,147,32
1776430076711,1,1896,31598,1861,148,32
1776430077712,1,1956,32618,1921,148,32
1776430078712,1,2016,33638,1981,148,32
1776430079710,1,2076,34658,2041,149,32
1776430080711,1,2136,35678,2101,145,32
1776430081711,1,2196,36698,2161,147,32
1776430082711,1,2256,37718,2221,149,32
1776430083711,1,2316,38738,2281,148,32
1776430084711,1,2376,39758,2341,149,32
1776430085711,1,2436,40778,2401,150,32
1776430086713,1,2496,41798,2461,149,32
1776430087711,1,2556,42818,2521,147,32
1776430088711,1,2616,43838,2581,147,32
1776430089713,1,2676,44858,2641,146,32
1776430090711,1,2736,45878,2701,149,32
1776430091711,1,2796,46898,2761,149,32
1776430092711,1,2856,47918,2821,148,32
1776430093710,1,2916,48938,2881,148,32
1776430094711,1,2976,49958,2941,148,32
1776430095711,1,3036,50978,3001,149,32
1776430096710,1,3096,51998,3061,147,32
1776430097710,1,3156,53018,3121,147,32
1776430098711,1,3216,54038,3181,149,32
1776430099711,1,3276,55058,3241,148,32
1776430100711,1,3336,56078,3301,149,32
1776430101712,1,3396,57098,3361,148,32
1776430102712,1,3456,58118,3421,148,32
1776430103711,1,3516,59138,3481,147,32
1776430104711,1,3576,60158,3541,145,32
