wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776430045039,1,0,0,0,0
1776430046040,61,2,743,20,32
1776430047040,121,2,2783,40,152
1776430048040,181,2,4823,60,272
1776430049040,241,2,6863,80,392
1776430050040,301,2,8903,100,512
1776430051040,361,2,10943,120,632
1776430052040,421,2,12983,140,752
1776430053040,481,2,15023,160,872
1776430054040,541,2,17063,180,992
1776430055040,601,2,19103,200,1112
1776430056040,661,2,21143,220,1232
1776430057040,721,2,23183,240,1352
1776430058040,781,2,25223,260,1472
1776430059040,841,2,27263,280,1592
1776430060042,901,2,29303,300,1712
1776430061042,961,2,31343,320,1832
1776430062042,1021,2,33383,340,1952
1776430063042,1081,2,35423,360,2072
1776430064042,1141,2,37463,380,2192
1776430065042,1201,2,39503,400,2312
1776430066042,1261,2,41543,420,2432
1776430067042,1321,2,43583,440,2552
1776430068042,1381,2,45623,460,2672
1776430069042,1441,2,47663,480,2792
1776430070042,1501,2,49703,500,2912
1776430071042,1561,2,51743,520,3032
1776430072042,1621,2,53783,540,3152
1776430073042,1681,2,55823,560,3272
1776430074042,1741,2,57863,580,3392
1776430075042,1801,2,59903,600,3512
1776430076042,1861,2,61943,620,3632
1776430077042,1921,2,63983,640,3752
1776430078042,1981,2,66023,660,3872
1776430079042,2041,2,68063,680,3992
1776430080042,2101,2,70103,700,4112
1776430081042,2161,2,72143,720,4232
1776430082042,2221,2,74183,740,4352
1776430083042,2281,2,76223,760,4472
1776430084042,2341,2,78263,780,4592
1776430085042,2401,2,80303,800,4712
1776430086042,2461,2,82343,820,4832
1776430087042,2521,2,84383,840,4952
1776430088042,2581,2,86423,860,5072
1776430089042,2641,2,88463,880,5192
1776430090042,2701,2,90503,900,5312
1776430091042,2761,2,92543,920,5432
1776430092042,2821,2,94583,940,5552
1776430093042,2881,2,96623,960,5672
1776430094042,2941,2,98663,980,5792
1776430095042,3001,2,100703,1000,5912
1776430096042,3061,2,102743,1020,6032
1776430097042,3121,2,104783,1040,6152
1776430098042,3181,2,106823,1060,6272
1776430099042,3241,2,108863,1080,6392
1776430100042,3301,2,110903,1100,6512
1776430101042,3361,2,112943,1120,6632
1776430102042,3421,2,114983,1140,6752
1776430103042,3481,2,117023,1160,6872
1776430104042,3541,2,119063,1180,6992
1776430105042,3601,2,121103,1200,7112
1776430106042,3661,2,123143,1220,7195
