wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776430541323,1,0,0,0,0
1776430542323,61,2,794,20,37
1776430543325,121,2,3180,40,158
1776430544325,181,2,5654,60,278
1776430545325,241,2,8246,80,398
1776430546325,301,2,10744,100,518
1776430547327,361,2,13256,120,639
1776430548327,421,2,15808,140,759
1776430549327,481,2,18366,160,879
1776430550328,541,2,20918,180,999
1776430551329,601,2,23496,200,1119
1776430552331,661,2,26042,220,1239
1776430553331,721,2,28634,240,1359
1776430554333,781,2,31228,260,1479
1776430555335,841,2,33738,280,1599
1776430556335,901,2,36276,300,1719
1776430557335,961,2,38870,320,1839
1776430558336,1021,2,41424,340,1959
1776430559336,1081,2,44036,360,2079
1776430560337,1141,2,46694,380,2199
1776430561339,1201,2,49376,400,2319
1776430562342,1262,2,52068,420,2440
1776430563344,1322,2,54728,440,2561
1776430564345,1382,2,57378,460,2681
1776430565345,1442,2,60054,480,2801
1776430566345,1502,2,62756,500,2921
1776430567347,1562,2,65426,520,3041
1776430568347,1622,2,68078,540,3161
1776430569349,1682,2,70778,560,3281
1776430570350,1742,2,73520,580,3401
1776430571352,1802,2,76200,600,3521
1776430572354,1862,2,78846,620,3641
1776430573354,1922,2,81534,640,3761
1776430574355,1982,2,84222,660,3881
1776430575357,2043,2,87028,681,4002
1776430576358,2103,2,89720,701,4122
1776430577358,2163,2,92366,721,4242
1776430578360,2223,2,95026,741,4362
1776430579362,2283,2,97736,761,4483
1776430580362,2343,2,100354,781,4603
1776430581362,2403,2,102996,801,4723
1776430582362,2463,2,105704,821,4843
1776430583364,2523,2,108394,841,4963
1776430584364,2583,2,111026,861,5083
1776430585364,2643,2,113686,881,5203
1776430586365,2703,2,116380,901,5323
1776430587365,2763,2,119074,921,5443
1776430588366,2823,2,121742,941,5563
1776430589367,2883,2,124388,961,5683
1776430590368,2943,2,127062,981,5803
1776430591368,3003,2,129764,1001,5923
1776430592370,3063,2,132460,1021,6043
1776430593371,3123,2,135112,1041,6163
1776430594372,3183,2,137780,1061,6283
1776430595373,3244,2,140530,1081,6403
1776430596375,3304,2,143176,1101,6524
1776430597377,3364,2,145812,1121,6645
1776430598378,3424,2,148512,1141,6765
1776430599379,3484,2,151224,1161,6885
1776430600379,3544,2,153898,1181,7005
1776430601379,3604,2,156572,1201,7125
1776430602381,3664,0,157837,1221,7188
