wall_time_ms,player_id,input_seq,ack_seq,rtt_ms,reconciliation_error_px,perceived_delay_ms,mode
1776430666172,1,2,2,211,0,211,baseline
1776430666172,1,1,2,229,0,229,baseline
1776430666223,1,5,5,210,0,210,baseline
1776430666223,1,4,5,229,0,229,baseline
1776430666223,1,3,5,244,0,244,baseline
1776430666271,1,8,8,208,0,208,baseline
1776430666271,1,7,8,226,0,226,baseline
1776430666271,1,6,8,243,0,243,baseline
1776430666325,1,11,11,214,0,214,baseline
1776430666325,1,10,11,229,0,229,baseline
1776430666325,1,9,11,247,0,247,baseline
1776430666371,1,14,14,209,0,209,baseline
1776430666371,1,13,14,227,0,227,baseline
1776430666371,1,12,14,242,0,242,baseline
1776430666423,1,17,17,212,0,212,baseline
1776430666423,1,16,17,227,0,227,baseline
1776430666423,1,15,17,245,0,245,baseline
1776430666471,1,20,20,209,0,209,baseline
1776430666471,1,19,20,227,0,227,baseline
1776430666471,1,18,20,242,0,242,baseline
1776430666522,1,23,23,209,0,209,baseline
1776430666522,1,22,23,227,0,227,baseline
1776430666522,1,21,23,245,0,245,baseline
1776430666573,1,26,26,212,0,212,baseline
1776430666573,1,25,26,227,0,227,baseline
1776430666573,1,24,26,245,0,245,baseline
1776430666624,1,29,29,213,0,213,baseline
1776430666624,1,28,29,230,0,230,baseline
1776430666624,1,27,29,245,0,245,baseline
1776430666672,1,32,32,210,0,210,baseline
1776430666672,1,31,32,228,0,228,baseline
1776430666672,1,30,32,243,0,243,baseline
1776430666720,1,35,35,210,0,210,baseline
1776430666720,1,34,35,225,0,225,baseline
1776430666720,1,33,35,243,0,243,baseline
1776430666773,1,38,38,212,0,212,baseline
1776430666773,1,37,38,227,0,227,baseline
1776430666773,1,36,38,245,0,245,baseline
1776430666821,1,41,41,209,0,209,baseline
1776430666821,1,40,41,226,0,226,baseline
1776430666821,1,39,41,242,0,242,baseline
1776430666871,1,44,44,208,0,208,baseline
1776430666871,1,43,44,226,0,226,baseline
1776430666871,1,42,44,244,0,244,baseline
1776430666921,1,47,47,210,0,210,baseline
1776430666921,1,46,47,225,0,225,baseline
1776430666921,1,45,47,243,0,243,baseline
1776430666973,1,50,50,213,0,213,baseline
1776430666973,1,49,50,228,0,228,baseline
1776430666973,1,48,50,243,0,243,baseline
1776430667021,1,53,53,209,0,209,baseline
1776430667021,1,52,53,227,0,227,baseline
1776430667021,1,51,53,243,0,243,baseline
1776430667075,1,56,56,213,0,213,baseline
1776430667075,1,55,56,230,0,230,baseline
1776430667075,1,54,56,248,0,248,baseline
1776430667123,1,59,59,212,0,212,baseline
1776430667123,1,58,59,228,0,228,baseline
1776430667123,1,57,59,244,0,244,baseline
1776430667172,1,62,62,212,0,212,baseline
1776430667172,1,61,62,227,0,227,baseline
1776430667172,1,60,62,245,0,245,baseline
1776430667224,1,65,65,213,0,213,baseline
1776430667224,1,64,65,230,0,230,baseline
1776430667224,1,63,65,245,0,245,baseline
1776430667272,1,68,68,210,0,210,baseline
1776430667272,1,67,68,227,0,227,baseline
1776430667272,1,66,68,245,0,245,baseline
1776430667322,1,71,71,211,0,211,baseline
1776430667322,1,70,71,227,0,227,baseline
1776430667322,1,69,71,244,0,244,baseline
1776430667372,1,74,74,210,0,210,baseline
1776430667372,1,73,74,227,0,227,baseline
1776430667372,1,72,74,243,0,243,baseline
1776430667422,1,77,77,209,0,209,baseline
1776430667422,1,76,77,226,0,226,baseline
1776430667422,1,75,77,244,0,244,baseline
1776430667473,1,80,80,210,0,210,baseline
1776430667473,1,79,80,227,0,227,baseline
1776430667473,1,78,80,246,0,246,baseline
1776430667522,1,83,83,210,0,210,baseline
1776430667522,1,82,83,228,0,228,baseline
1776430667522,1,81,83,243,0,243,baseline
1776430667573,1,86,86,213,0,213,baseline
1776430667573,1,85,86,228,0,228,baseline
1776430667573,1,84,86,245,0,245,baseline
1776430667622,1,89,89,209,0,209,baseline
1776430667622,1,88,89,228,0,228,baseline
1776430667622,1,87,89,244,0,244,baseline
1776430667674,1,92,92,213,0,213,baseline
1776430667674,1,91,92,230,0,230,baseline
1776430667674,1,90,92,246,0,246,baseline
1776430667722,1,95,95,209,0,209,baseline
1776430667722,1,94,95,227,0,227,baseline
1776430667722,1,93,95,243,0,243,baseline
1776430667773,1,98,98,212,0,212,baseline
1776430667773,1,97,98,227,0,227,baseline
1776430667773,1,96,98,244,0,244,baseline
1776430667822,1,101,101,209,0,209,baseline
1776430667822,1,100,101,227,0,227,baseline
1776430667822,1,99,101,243,0,243,baseline
1776430667873,1,104,104,212,0,212,baseline
1776430667873,1,103,104,230,0,230,baseline
1776430667873,1,102,104,245,0,245,baseline
1776430667922,1,107,107,209,0,209,baseline
1776430667922,1,106,107,227,0,227,baseline
1776430667922,1,105,107,245,0,245,baseline
1776430667973,1,110,110,212,0,212,baseline
1776430667973,1,109,110,227,0,227,baseline
1776430667973,1,108,110,245,0,245,baseline
1776430668024,1,113,113,212,0,212,baseline
1776430668024,1,112,113,230,0,230,baseline
1776430668024,1,111,113,245,0,245,baseline
1776430668072,1,116,116,210,0,210,baseline
1776430668072,1,115,116,229,0,229,baseline
1776430668072,1,114,116,244,0,244,baseline
1776430668121,1,119,119,209,0,209,baseline
1776430668121,1,118,119,227,0,227,baseline
1776430668121,1,117,119,242,0,242,baseline
1776430668173,1,122,122,212,0,212,baseline
1776430668173,1,121,122,227,0,227,baseline
1776430668173,1,120,122,245,0,245,baseline
1776430668222,1,125,125,210,0,210,baseline
1776430668222,1,124,125,227,0,227,baseline
1776430668222,1,123,125,243,0,243,baseline
1776430668271,1,128,128,211,0,211,baseline
1776430668271,1,127,128,225,0,225,baseline
1776430668271,1,126,128,244,0,244,baseline
1776430668323,1,131,131,211,0,211,baseline
1776430668323,1,130,131,230,0,230,baseline
1776430668323,1,129,131,245,0,245,baseline
1776430668371,1,134,134,210,0,210,baseline
1776430668371,1,133,134,226,0,226,baseline
1776430668371,1,132,134,244,0,244,baseline
1776430668422,1,137,137,209,0,209,baseline
