wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776430665943,1,0,0,1,0,0
1776430666945,1,87,1115,61,243,0
1776430667946,1,147,2341,121,245,0
1776430668946,1,207,3652,181,244,0
1776430669945,1,267,4919,241,246,0
1776430670944,1,327,6134,301,248,0
1776430671943,1,387,7410,361,246,0
1776430672944,1,447,8693,421,242,0
1776430673945,1,507,9963,481,244,0
1776430674945,1,567,11242,541,242,0
1776430675943,1,627,12487,601,245,0
1776430676945,1,687,13770,661,246,0
1776430677944,1,747,15054,721,243,0
1776430678944,1,807,16317,781,245,0
1776430679943,1,867,17576,841,245,0
1776430680943,1,927,18855,901,242,0
