wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776430418025,1,0,0,1,0,0
1776430419027,1,99,998,61,248,19
1776430420025,1,159,2018,121,249,32
1776430421027,1,219,3038,181,250,32
1776430422027,1,279,4058,241,249,32
1776430423028,1,339,5078,301,248,32
1776430424028,1,399,6098,361,250,32
1776430425028,1,459,7118,421,251,32
1776430426026,1,519,8138,481,247,32
1776430427027,1,579,9158,541,250,32
1776430428026,1,639,10178,601,247,32
1776430429027,1,699,11198,661,250,32
1776430430026,1,759,12218,721,249,32
1776430431027,1,819,13238,781,248,32
1776430432028,1,879,14258,841,247,32
1776430433026,1,939,15278,901,249,32
1776430434027,1,999,16298,961,250,32
1776430435026,1,1059,17318,1021,247,32
1776430436027,1,1119,18338,1081,251,32
1776430437026,1,1179,19358,1141,245,32
1776430438027,1,1239,20378,1201,248,32
1776430439027,1,1299,21398,1261,248,32
1776430440026,1,1359,22418,1321,249,32
1776430441028,1,1419,23438,1381,250,32
1776430442026,1,1479,24458,1441,250,32
1776430443026,1,1539,25478,1501,250,32
1776430444028,1,1599,26498,1561,250,32
1776430445026,1,1659,27518,1621,248,32
1776430446027,1,1719,28538,1681,249,32
1776430447028,1,1779,29558,1741,249,32
1776430448028,1,1839,30578,1801,249,32
1776430449026,1,1899,31598,1861,248,32
1776430450026,1,1959,32618,1921,249,32
1776430451028,1,2019,33638,1981,248,32
1776430452027,1,2079,34658,2041,249,32
1776430453027,1,2139,35678,2101,247,32
1776430454026,1,2199,36698,2161,248,32
1776430455028,1,2259,37718,2221,247,32
1776430456026,1,2319,38738,2281,248,32
1776430457027,1,2379,39758,2341,248,32
1776430458027,1,2439,40778,2401,247,32
1776430459027,1,2499,41798,2461,248,32
1776430460027,1,2559,42818,2521,248,32
1776430461028,1,2619,43838,2581,249,32
1776430462026,1,2679,44858,2641,247,32
1776430463028,1,2739,45878,2701,249,32
1776430464027,1,2799,46898,2761,247,32
1776430465027,1,2859,47918,2821,248,32
1776430466027,1,2919,48938,2881,248,32
1776430467026,1,2979,49958,2941,247,32
1776430468026,1,3039,50978,3001,250,32
1776430469028,1,3099,51998,3061,251,32
1776430470028,1,3159,53018,3121,249,32
1776430471028,1,3219,54038,3181,251,32
1776430472026,1,3279,55058,3241,248,32
1776430473026,1,3339,56078,3301,248,32
1776430474026,1,3399,57098,3361,250,32
1776430475026,1,3459,58118,3421,248,32
1776430476028,1,3519,59138,3481,251,32
1776430477026,1,3579,60158,3541,249,32
