wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776430417255,1,0,0,0,0
1776430418255,61,2,641,20,13
1776430419255,121,2,2681,40,133
1776430420255,181,2,4721,60,253
1776430421255,241,2,6761,80,373
1776430422255,301,2,8801,100,493
1776430423256,361,2,10841,120,613
1776430424257,421,2,12881,140,733
1776430425257,481,2,14921,160,853
1776430426258,541,2,16961,180,973
1776430427258,601,2,19001,200,1093
1776430428258,661,2,21041,220,1213
1776430429258,721,2,23081,240,1333
1776430430258,781,2,25121,260,1453
1776430431258,841,2,27161,280,1573
1776430432258,901,2,29201,300,1693
1776430433258,961,2,31241,320,1813
1776430434258,1021,2,33281,340,1933
1776430435258,1081,2,35321,360,2053
1776430436258,1141,2,37361,380,2173
1776430437258,1201,2,39401,400,2293
1776430438258,1261,2,41441,420,2413
1776430439258,1321,2,43481,440,2533
1776430440260,1381,2,45521,460,2654
1776430441262,1441,2,47561,480,2773
1776430442264,1501,2,49601,500,2894
1776430443264,1561,2,51641,520,3014
1776430444264,1621,2,53681,540,3134
1776430445264,1681,2,55721,560,3254
1776430446264,1741,2,57761,580,3374
1776430447264,1801,2,59801,600,3494
1776430448264,1861,2,61841,620,3614
1776430449264,1921,2,63881,640,3734
1776430450264,1981,2,65921,660,3854
1776430451265,2041,2,67961,680,3974
1776430452267,2101,2,70001,700,4094
1776430453267,2161,2,72041,720,4214
1776430454267,2221,2,74081,740,4335
1776430455267,2281,2,76121,760,4455
1776430456267,2341,2,78161,780,4575
1776430457269,2401,2,80201,800,4695
1776430458269,2461,2,82241,820,4815
1776430459270,2521,2,84281,840,4935
1776430460270,2581,2,86321,860,5055
1776430461272,2642,2,88361,880,5175
1776430462274,2702,2,90401,900,5295
1776430463274,2762,2,92441,920,5415
1776430464274,2822,2,94481,940,5535
1776430465275,2882,2,96521,960,5655
1776430466278,2942,2,98561,980,5776
1776430467280,3002,2,100601,1000,5896
1776430468281,3062,2,102641,1020,6017
1776430469281,3122,2,104681,1040,6136
1776430470283,3182,2,106721,1060,6257
1776430471283,3242,2,108761,1080,6377
1776430472283,3302,2,110801,1100,6496
1776430473284,3362,2,112841,1120,6617
1776430474286,3422,2,114881,1140,6737
1776430475287,3482,2,116921,1160,6857
1776430476287,3542,2,118961,1180,6977
1776430477287,3602,2,121001,1200,7097
1776430478287,3662,2,123041,1220,7190
