wall_time_ms,player_id,input_seq,ack_seq,rtt_ms,reconciliation_error_px,perceived_delay_ms,mode
1776431105818,2,2,2,113,0,113,baseline
1776431105818,2,1,2,131,0,131,baseline
1776431105916,2,8,8,110,0,110,baseline
1776431105916,2,7,8,128,0,128,baseline
1776431105916,2,6,8,143,0,143,baseline
1776431105916,2,5,8,161,0,161,baseline
1776431105916,2,4,8,179,0,179,baseline
1776431105916,2,3,8,193,0,193,baseline
1776431105967,2,11,11,110,0,110,baseline
1776431105967,2,10,11,128,0,128,baseline
1776431105967,2,9,11,146,0,146,baseline
1776431106018,2,14,14,112,0,112,baseline
1776431106018,2,13,14,129,0,129,baseline
1776431106018,2,12,14,147,0,147,baseline
1776431106068,2,17,17,114,0,114,baseline
1776431106068,2,16,17,129,0,129,baseline
1776431106068,2,15,17,147,0,147,baseline
1776431106118,2,20,20,113,0,113,baseline
1776431106118,2,19,20,128,0,128,baseline
1776431106118,2,18,20,146,0,146,baseline
1776431106169,2,23,23,114,0,114,baseline
1776431106169,2,22,23,131,0,131,baseline
1776431106169,2,21,23,146,0,146,baseline
1776431106217,2,26,26,111,0,111,baseline
1776431106217,2,25,26,129,0,129,baseline
1776431106217,2,24,26,144,0,144,baseline
1776431106267,2,29,29,111,0,111,baseline
1776431106267,2,28,29,128,0,128,baseline
1776431106267,2,27,29,146,0,146,baseline
1776431106318,2,32,32,112,0,112,baseline
1776431106318,2,31,32,129,0,129,baseline
1776431106318,2,30,32,147,0,147,baseline
1776431106368,2,35,35,113,0,113,baseline
1776431106368,2,34,35,129,0,129,baseline
1776431106368,2,33,35,146,0,146,baseline
1776431106417,2,38,38,112,0,112,baseline
1776431106417,2,37,38,130,0,130,baseline
1776431106417,2,36,38,145,0,145,baseline
1776431106468,2,41,41,113,0,113,baseline
1776431106468,2,40,41,130,0,130,baseline
1776431106468,2,39,41,145,0,145,baseline
1776431106516,2,44,44,110,0,110,baseline
1776431106516,2,43,44,128,0,128,baseline
1776431106516,2,42,44,143,0,143,baseline
1776431106567,2,47,47,112,0,112,baseline
1776431106567,2,46,47,127,0,127,baseline
1776431106567,2,45,47,145,0,145,baseline
1776431106618,2,50,50,112,0,112,baseline
1776431106618,2,49,50,130,0,130,baseline
1776431106618,2,48,50,145,0,145,baseline
1776431106666,2,53,53,111,0,111,baseline
1776431106666,2,52,53,127,0,127,baseline
1776431106666,2,51,53,145,0,145,baseline
1776431106720,2,56,56,115,0,115,baseline
1776431106720,2,55,56,132,0,132,baseline
1776431106720,2,54,56,147,0,147,baseline
1776431106768,2,59,59,112,0,112,baseline
1776431106768,2,58,59,130,0,130,baseline
1776431106768,2,57,59,145,0,145,baseline
1776431106819,2,62,62,115,0,115,baseline
1776431106819,2,61,62,130,0,130,baseline
1776431106819,2,60,62,148,0,148,baseline
1776431106870,2,65,65,115,0,115,baseline
1776431106870,2,64,65,133,0,133,baseline
1776431106870,2,63,65,148,0,148,baseline
1776431106917,2,68,68,111,0,111,baseline
1776431106917,2,67,68,129,0,129,baseline
1776431106917,2,66,68,144,0,144,baseline
1776431106969,2,71,71,115,0,115,baseline
1776431106969,2,70,71,130,0,130,baseline
1776431106969,2,69,71,148,0,148,baseline
1776431107020,2,74,74,115,0,115,baseline
1776431107020,2,73,74,133,0,133,baseline
1776431107020,2,72,74,148,0,148,baseline
1776431107068,2,77,77,113,0,113,baseline
1776431107068,2,76,77,130,0,130,baseline
1776431107068,2,75,77,146,0,146,baseline
1776431107119,2,80,80,115,0,115,baseline
1776431107119,2,79,80,130,0,130,baseline
1776431107119,2,78,80,148,0,148,baseline
1776431107170,2,83,83,115,0,115,baseline
1776431107170,2,82,83,130,0,130,baseline
1776431107170,2,81,83,148,0,148,baseline
1776431107216,2,86,86,110,0,110,baseline
1776431107216,2,85,86,128,0,128,baseline
1776431107216,2,84,86,143,0,143,baseline
1776431107268,2,89,89,114,0,114,baseline
1776431107268,2,88,89,129,0,129,baseline
1776431107268,2,87,89,147,0,147,baseline
1776431107319,2,92,92,114,0,114,baseline
1776431107319,2,91,92,129,0,129,baseline
1776431107319,2,90,92,147,0,147,baseline
1776431107367,2,95,95,111,0,111,baseline
1776431107367,2,94,95,129,0,129,baseline
1776431107367,2,93,95,146,0,146,baseline
1776431107417,2,98,98,111,0,111,baseline
1776431107417,2,97,98,128,0,128,baseline
1776431107417,2,96,98,146,0,146,baseline
1776431107468,2,101,101,114,0,114,baseline
1776431107468,2,100,101,129,0,129,baseline
1776431107468,2,99,101,147,0,147,baseline
1776431107520,2,104,104,115,0,115,baseline
1776431107520,2,103,104,133,0,133,baseline
1776431107520,2,102,104,148,0,148,baseline
1776431107568,2,107,107,113,0,113,baseline
1776431107568,2,106,107,128,0,128,baseline
1776431107568,2,105,107,146,0,146,baseline
1776431107617,2,110,110,110,0,110,baseline
1776431107617,2,109,110,128,0,128,baseline
1776431107617,2,108,110,144,0,144,baseline
1776431107668,2,113,113,113,0,113,baseline
1776431107668,2,112,113,131,0,131,baseline
1776431107668,2,111,113,146,0,146,baseline
1776431107719,2,116,116,113,0,113,baseline
1776431107719,2,115,116,130,0,130,baseline
1776431107719,2,114,116,148,0,148,baseline
1776431107767,2,118,118,127,0,127,baseline
1776431107767,2,117,118,145,0,145,baseline
1776431107817,2,122,122,111,0,111,baseline
1776431107817,2,121,122,129,0,129,baseline
1776431107817,2,120,122,144,0,144,baseline
1776431107817,2,119,122,162,0,162,baseline
1776431107868,2,125,125,111,0,111,baseline
1776431107868,2,124,125,129,0,129,baseline
1776431107868,2,123,125,147,0,147,baseline
1776431107919,2,128,128,113,0,113,baseline
1776431107919,2,127,128,130,0,130,baseline
1776431107919,2,126,128,147,0,147,baseline
1776431107970,2,131,131,115,0,115,baseline
1776431107970,2,130,131,133,0,133,baseline
1776431107970,2,129,131,148,0,148,baseline
1776431108018,2,134,134,112,0,112,baseline
1776431108018,2,133,134,130,0,130,baseline
1776431108018,2,132,134,145,0,145,baseline
1776431108069,2,136,136,130,0,130,baseline
1776431108069,2,135,136,147,0,147,baseline
1776431108120,2,140,140,115,0,115,baseline
1776431108120,2,139,140,133,0,133,baseline
1776431108120,2,138,140,147,0,147,baseline
1776431108120,2,137,140,165,0,165,baseline
1776431108168,2,143,143,112,0,112,baseline
1776431108168,2,142,143,130,0,130,baseline
1776431108168,2,141,143,145,0,145,baseline
1776431108219,2,146,146,114,0,114,baseline
1776431108219,2,145,146,129,0,129,baseline
1776431108219,2,144,146,147,0,147,baseline
1776431108270,2,148,148,133,0,133,baseline
1776431108270,2,147,148,148,0,148,baseline
1776431108318,2,152,152,112,0,112,baseline
1776431108318,2,151,152,130,0,130,baseline
1776431108318,2,150,152,145,0,145,baseline
1776431108318,2,149,152,163,0,163,baseline
1776431108366,2,155,155,112,0,112,baseline
1776431108366,2,154,155,127,0,127,baseline
1776431108366,2,153,155,145,0,145,baseline
1776431108417,2,157,157,127,0,127,baseline
1776431108417,2,156,157,145,0,145,baseline
1776431108468,2,161,161,112,0,112,baseline
1776431108468,2,160,161,130,0,130,baseline
1776431108468,2,159,161,145,0,145,baseline
1776431108468,2,158,161,163,0,163,baseline
1776431108519,2,164,164,115,0,115,baseline
1776431108519,2,163,164,130,0,130,baseline
1776431108519,2,162,164,148,0,148,baseline
1776431108618,2,170,170,112,0,112,baseline
1776431108618,2,169,170,129,0,129,baseline
1776431108618,2,168,170,147,0,147,baseline
1776431108618,2,167,170,162,0,162,baseline
1776431108618,2,166,170,180,0,180,baseline
1776431108618,2,165,170,196,0,196,baseline
1776431108667,2,173,173,112,0,112,baseline
1776431108667,2,172,173,128,0,128,baseline
1776431108667,2,171,173,145,0,145,baseline
1776431108719,2,176,176,113,0,113,baseline
1776431108719,2,175,176,131,0,131,baseline
1776431108719,2,174,176,146,0,146,baseline
1776431108767,2,179,179,113,0,113,baseline
1776431108767,2,178,179,128,0,128,baseline
1776431108767,2,177,179,146,0,146,baseline
1776431108818,2,182,182,112,0,112,baseline
1776431108818,2,181,182,130,0,130,baseline
1776431108818,2,180,182,146,0,146,baseline
1776431108869,2,185,185,115,0,115,baseline
1776431108869,2,184,185,130,0,130,baseline
1776431108869,2,183,185,148,0,148,baseline
1776431108918,2,188,188,112,0,112,baseline
1776431108918,2,187,188,130,0,130,baseline
1776431108918,2,186,188,146,0,146,baseline
1776431108969,2,191,191,115,0,115,baseline
1776431108969,2,190,191,130,0,130,baseline
1776431108969,2,189,191,148,0,148,baseline
1776431109017,2,194,194,112,0,112,baseline
1776431109017,2,193,194,127,0,127,baseline
1776431109017,2,192,194,145,0,145,baseline
1776431109068,2,197,197,112,0,112,baseline
1776431109068,2,196,197,130,0,130,baseline
1776431109068,2,195,197,145,0,145,baseline
1776431109117,2,200,200,113,0,113,baseline
1776431109117,2,199,200,128,0,128,baseline
1776431109117,2,198,200,146,0,146,baseline
1776431109167,2,203,203,111,0,111,baseline
1776431109167,2,202,203,129,0,129,baseline
1776431109167,2,201,203,145,0,145,baseline
1776431109218,2,206,206,114,0,114,baseline
1776431109218,2,205,206,129,0,129,baseline
1776431109218,2,204,206,147,0,147,baseline
1776431109269,2,209,209,114,0,114,baseline
1776431109269,2,208,209,130,0,130,baseline
1776431109269,2,207,209,147,0,147,baseline
1776431109320,2,212,212,114,0,114,baseline
1776431109320,2,211,212,132,0,132,baseline
1776431109320,2,210,212,147,0,147,baseline
1776431109368,2,215,215,112,0,112,baseline
1776431109368,2,214,215,130,0,130,baseline
1776431109368,2,213,215,145,0,145,baseline
1776431109419,2,218,218,114,0,114,baseline
1776431109419,2,217,218,130,0,130,baseline
1776431109419,2,216,218,148,0,148,baseline
1776431109470,2,221,221,115,0,115,baseline
1776431109470,2,220,221,133,0,133,baseline
1776431109470,2,219,221,148,0,148,baseline
1776431109518,2,224,224,112,0,112,baseline
1776431109518,2,223,224,129,0,129,baseline
1776431109518,2,222,224,147,0,147,baseline
1776431109569,2,227,227,115,0,115,baseline
1776431109569,2,226,227,130,0,130,baseline
1776431109569,2,225,227,147,0,147,baseline
1776431109617,2,229,229,129,0,129,baseline
1776431109617,2,228,229,145,0,145,baseline
1776431109668,2,233,233,112,0,112,baseline
1776431109668,2,232,233,130,0,130,baseline
1776431109668,2,231,233,145,0,145,baseline
1776431109668,2,230,233,163,0,163,baseline
1776431109716,2,236,236,112,0,112,baseline
1776431109716,2,235,236,127,0,127,baseline
1776431109716,2,234,236,144,0,144,baseline
1776431109769,2,239,239,113,0,113,baseline
1776431109769,2,238,239,131,0,131,baseline
1776431109769,2,237,239,147,0,147,baseline
1776431109818,2,242,242,112,0,112,baseline
1776431109818,2,241,242,130,0,130,baseline
1776431109818,2,240,242,147,0,147,baseline
1776431109869,2,245,245,115,0,115,baseline
1776431109869,2,244,245,130,0,130,baseline
1776431109869,2,243,245,148,0,148,baseline
1776431109918,2,248,248,113,0,113,baseline
1776431109918,2,247,248,129,0,129,baseline
1776431109918,2,246,248,146,0,146,baseline
1776431109969,2,251,251,113,0,113,baseline
1776431109969,2,250,251,131,0,131,baseline
1776431109969,2,249,251,146,0,146,baseline
1776431110017,2,254,254,112,0,112,baseline
1776431110017,2,253,254,128,0,128,baseline
1776431110017,2,252,254,146,0,146,baseline
1776431110068,2,257,257,112,0,112,baseline
1776431110068,2,256,257,130,0,130,baseline
1776431110068,2,255,257,147,0,147,baseline
1776431110119,2,260,260,115,0,115,baseline
1776431110119,2,259,260,130,0,130,baseline
1776431110119,2,258,260,147,0,147,baseline
1776431110171,2,263,263,116,0,116,baseline
1776431110171,2,262,263,133,0,133,baseline
1776431110171,2,261,263,149,0,149,baseline
1776431110219,2,266,266,113,0,113,baseline
1776431110219,2,265,266,131,0,131,baseline
1776431110219,2,264,266,148,0,148,baseline
1776431110270,2,269,269,114,0,114,baseline
1776431110270,2,268,269,131,0,131,baseline
1776431110270,2,267,269,149,0,149,baseline
1776431110318,2,272,272,112,0,112,baseline
1776431110318,2,271,272,130,0,130,baseline
1776431110318,2,270,272,147,0,147,baseline
1776431110369,2,275,275,114,0,114,baseline
1776431110369,2,274,275,130,0,130,baseline
1776431110369,2,273,275,147,0,147,baseline
1776431110420,2,278,278,115,0,115,baseline
1776431110420,2,277,278,133,0,133,baseline
1776431110420,2,276,278,148,0,148,baseline
1776431110469,2,281,281,113,0,113,baseline
1776431110469,2,280,281,130,0,130,baseline
1776431110469,2,279,281,146,0,146,baseline
1776431110518,2,284,284,113,0,113,baseline
1776431110518,2,283,284,129,0,129,baseline
1776431110518,2,282,284,146,0,146,baseline
1776431110569,2,287,287,113,0,113,baseline
1776431110569,2,286,287,131,0,131,baseline
1776431110569,2,285,287,146,0,146,baseline
1776431110617,2,290,290,112,0,112,baseline
1776431110617,2,289,290,128,0,128,baseline
1776431110617,2,288,290,145,0,145,baseline
1776431110668,2,293,293,112,0,112,baseline
1776431110668,2,292,293,130,0,130,baseline
1776431110668,2,291,293,145,0,145,baseline
1776431110717,2,296,296,113,0,113,baseline
1776431110717,2,295,296,128,0,128,baseline
1776431110717,2,294,296,146,0,146,baseline
1776431110768,2,299,299,112,0,112,baseline
1776431110768,2,298,299,130,0,130,baseline
1776431110768,2,297,299,146,0,146,baseline
1776431110816,2,302,302,112,0,112,baseline
1776431110816,2,301,302,127,0,127,baseline
1776431110816,2,300,302,145,0,145,baseline
1776431110867,2,305,305,112,0,112,baseline
1776431110867,2,304,305,127,0,127,baseline
1776431110867,2,303,305,145,0,145,baseline
1776431110917,2,308,308,111,0,111,baseline
1776431110917,2,307,308,129,0,129,baseline
1776431110917,2,306,308,146,0,146,baseline
1776431110968,2,311,311,112,0,112,baseline
1776431110968,2,310,311,129,0,129,baseline
1776431110968,2,309,311,147,0,147,baseline
1776431111019,2,314,314,114,0,114,baseline
1776431111019,2,313,314,129,0,129,baseline
1776431111019,2,312,314,147,0,147,baseline
1776431111068,2,317,317,113,0,113,baseline
1776431111068,2,316,317,130,0,130,baseline
1776431111068,2,315,317,146,0,146,baseline
1776431111116,2,320,320,109,0,109,baseline
1776431111116,2,319,320,127,0,127,baseline
1776431111116,2,318,320,145,0,145,baseline
1776431111166,2,323,323,111,0,111,baseline
1776431111166,2,322,323,126,0,126,baseline
1776431111166,2,321,323,144,0,144,baseline
1776431111217,2,326,326,111,0,111,baseline
1776431111217,2,325,326,129,0,129,baseline
1776431111217,2,324,326,144,0,144,baseline
1776431111267,2,329,329,111,0,111,baseline
1776431111267,2,328,329,129,0,129,baseline
1776431111267,2,327,329,146,0,146,baseline
1776431111317,2,332,332,113,0,113,baseline
1776431111317,2,331,332,128,0,128,baseline
1776431111317,2,330,332,146,0,146,baseline
1776431111368,2,335,335,113,0,113,baseline
1776431111368,2,334,335,128,0,128,baseline
1776431111368,2,333,335,146,0,146,baseline
1776431111419,2,338,338,115,0,115,baseline
1776431111419,2,337,338,130,0,130,baseline
1776431111419,2,336,338,147,0,147,baseline
1776431111470,2,341,341,115,0,115,baseline
1776431111470,2,340,341,130,0,130,baseline
1776431111470,2,339,341,148,0,148,baseline
1776431111518,2,344,344,112,0,112,baseline
1776431111518,2,343,344,129,0,129,baseline
1776431111518,2,342,344,147,0,147,baseline
1776431111568,2,347,347,113,0,113,baseline
1776431111568,2,346,347,129,0,129,baseline
1776431111568,2,345,347,146,0,146,baseline
1776431111619,2,349,349,131,0,131,baseline
1776431111619,2,348,349,147,0,147,baseline
1776431111670,2,353,353,115,0,115,baseline
1776431111670,2,352,353,133,0,133,baseline
1776431111670,2,351,353,147,0,147,baseline
1776431111670,2,350,353,165,0,165,baseline
1776431111718,2,356,356,112,0,112,baseline
1776431111718,2,355,356,130,0,130,baseline
1776431111718,2,354,356,145,0,145,baseline
1776431111817,2,362,362,112,0,112,baseline
1776431111817,2,361,362,129,0,129,baseline
1776431111817,2,360,362,144,0,144,baseline
1776431111817,2,359,362,162,0,162,baseline
1776431111817,2,358,362,178,0,178,baseline
1776431111817,2,357,362,196,0,196,baseline
1776431111868,2,365,365,112,0,112,baseline
1776431111868,2,364,365,130,0,130,baseline
1776431111868,2,363,365,147,0,147,baseline
1776431111918,2,368,368,114,0,114,baseline
1776431111918,2,367,368,129,0,129,baseline
1776431111918,2,366,368,147,0,147,baseline
1776431111970,2,371,371,115,0,115,baseline
1776431111970,2,370,371,131,0,131,baseline
1776431111970,2,369,371,148,0,148,baseline
1776431112018,2,374,374,112,0,112,baseline
1776431112018,2,373,374,130,0,130,baseline
1776431112018,2,372,374,145,0,145,baseline
1776431112069,2,377,377,115,0,115,baseline
1776431112069,2,376,377,130,0,130,baseline
1776431112069,2,375,377,148,0,148,baseline
1776431112117,2,380,380,112,0,112,baseline
1776431112117,2,379,380,129,0,129,baseline
1776431112117,2,378,380,145,0,145,baseline
1776431112167,2,383,383,111,0,111,baseline
1776431112167,2,382,383,129,0,129,baseline
1776431112167,2,381,383,144,0,144,baseline
1776431112219,2,386,386,115,0,115,baseline
1776431112219,2,385,386,130,0,130,baseline
1776431112219,2,384,386,148,0,148,baseline
1776431112269,2,388,388,130,0,130,baseline
1776431112269,2,387,388,147,0,147,baseline
1776431112318,2,392,392,112,0,112,baseline
1776431112318,2,391,392,130,0,130,baseline
1776431112318,2,390,392,145,0,145,baseline
1776431112318,2,389,392,163,0,163,baseline
1776431112369,2,395,395,115,0,115,baseline
1776431112369,2,394,395,130,0,130,baseline
1776431112369,2,393,395,148,0,148,baseline
1776431112420,2,398,398,115,0,115,baseline
1776431112420,2,397,398,130,0,130,baseline
1776431112420,2,396,398,148,0,148,baseline
1776431112468,2,401,401,112,0,112,baseline
1776431112468,2,400,401,130,0,130,baseline
1776431112468,2,399,401,145,0,145,baseline
1776431112519,2,404,404,115,0,115,baseline
1776431112519,2,403,404,130,0,130,baseline
1776431112519,2,402,404,148,0,148,baseline
1776431112570,2,407,407,115,0,115,baseline
1776431112570,2,406,407,130,0,130,baseline
1776431112570,2,405,407,148,0,148,baseline
1776431112617,2,410,410,111,0,111,baseline
1776431112617,2,409,410,129,0,129,baseline
1776431112617,2,408,410,146,0,146,baseline
1776431112668,2,413,413,114,0,114,baseline
1776431112668,2,412,413,129,0,129,baseline
1776431112668,2,411,413,147,0,147,baseline
1776431112719,2,415,415,129,0,129,baseline
1776431112719,2,414,415,147,0,147,baseline
1776431112770,2,419,419,115,0,115,baseline
1776431112770,2,418,419,132,0,132,baseline
1776431112770,2,417,419,148,0,148,baseline
1776431112770,2,416,419,165,0,165,baseline
1776431112818,2,422,422,112,0,112,baseline
1776431112818,2,421,422,130,0,130,baseline
1776431112818,2,420,422,145,0,145,baseline
1776431112869,2,425,425,114,0,114,baseline
1776431112869,2,424,425,130,0,130,baseline
1776431112869,2,423,425,148,0,148,baseline
1776431112918,2,428,428,112,0,112,baseline
1776431112918,2,427,428,130,0,130,baseline
1776431112918,2,426,428,146,0,146,baseline
1776431112968,2,431,431,114,0,114,baseline
1776431112968,2,430,431,129,0,129,baseline
1776431112968,2,429,431,147,0,147,baseline
1776431113019,2,434,434,114,0,114,baseline
1776431113019,2,433,434,132,0,132,baseline
1776431113019,2,432,434,147,0,147,baseline
1776431113068,2,437,437,112,0,112,baseline
1776431113068,2,436,437,130,0,130,baseline
1776431113068,2,435,437,145,0,145,baseline
1776431113119,2,440,440,113,0,113,baseline
1776431113119,2,439,440,130,0,130,baseline
1776431113119,2,438,440,148,0,148,baseline
1776431113167,2,443,443,112,0,112,baseline
1776431113167,2,442,443,130,0,130,baseline
1776431113167,2,441,443,145,0,145,baseline
1776431113218,2,446,446,112,0,112,baseline
1776431113218,2,445,446,130,0,130,baseline
1776431113218,2,444,446,145,0,145,baseline
1776431113269,2,449,449,114,0,114,baseline
1776431113269,2,448,449,129,0,129,baseline
1776431113269,2,447,449,147,0,147,baseline
1776431113320,2,452,452,115,0,115,baseline
1776431113320,2,451,452,132,0,132,baseline
1776431113320,2,450,452,147,0,147,baseline
1776431113368,2,455,455,112,0,112,baseline
1776431113368,2,454,455,130,0,130,baseline
1776431113368,2,453,455,145,0,145,baseline
1776431113419,2,458,458,115,0,115,baseline
1776431113419,2,457,458,130,0,130,baseline
1776431113419,2,456,458,148,0,148,baseline
1776431113470,2,461,461,115,0,115,baseline
1776431113470,2,460,461,133,0,133,baseline
1776431113470,2,459,461,148,0,148,baseline
1776431113518,2,464,464,112,0,112,baseline
1776431113518,2,463,464,130,0,130,baseline
1776431113518,2,462,464,145,0,145,baseline
1776431113569,2,467,467,114,0,114,baseline
1776431113569,2,466,467,130,0,130,baseline
1776431113569,2,465,467,148,0,148,baseline
1776431113620,2,470,470,115,0,115,baseline
1776431113620,2,469,470,132,0,132,baseline
1776431113620,2,468,470,148,0,148,baseline
1776431113668,2,473,473,112,0,112,baseline
1776431113668,2,472,473,129,0,129,baseline
1776431113668,2,471,473,147,0,147,baseline
1776431113719,2,476,476,114,0,114,baseline
1776431113719,2,475,476,129,0,129,baseline
1776431113719,2,474,476,147,0,147,baseline
1776431113767,2,479,479,112,0,112,baseline
1776431113767,2,478,479,130,0,130,baseline
1776431113767,2,477,479,144,0,144,baseline
1776431113818,2,482,482,112,0,112,baseline
1776431113818,2,481,482,129,0,129,baseline
1776431113818,2,480,482,147,0,147,baseline
