wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776431167681,1,0,0,1,0,0
1776431168681,1,90,1113,61,136,0
1776431169681,1,150,2347,121,153,0
1776431170682,1,210,3666,181,149,0
1776431171682,1,270,4931,241,135,0
1776431172681,1,330,6145,301,151,0
1776431173682,1,390,7423,361,154,0
1776431174682,1,450,8704,421,153,0
1776431175681,1,510,9978,481,152,0
1776431176682,1,570,11260,541,152,0
1776431177683,1,630,12523,601,153,0
1776431178682,1,690,13804,661,152,0
1776431179681,1,750,15078,721,151,0
1776431180682,1,810,16313,781,136,0
1776431181682,1,870,17574,841,154,0
1776431182681,1,930,18864,901,153,0
1776431183682,1,990,20153,961,136,0
1776431184682,1,1050,21460,1021,166,0
1776431185681,1,1110,22781,1081,153,0
1776431186681,1,1170,24138,1141,152,0
1776431187682,1,1230,25479,1201,183,0
1776431188683,1,1290,26818,1261,154,0
1776431189682,1,1350,28164,1321,154,0
1776431190682,1,1410,29499,1381,153,0
1776431191681,1,1470,30857,1441,136,0
1776431192682,1,1530,32223,1501,201,0
1776431193681,1,1590,33536,1561,152,0
1776431194682,1,1650,34858,1621,152,0
1776431195681,1,1710,36228,1681,151,0
1776431196683,1,1770,37564,1741,138,0
1776431197681,1,1830,38878,1801,153,0
1776431198682,1,1890,40219,1861,204,0
1776431199682,1,1950,41559,1921,154,0
1776431200682,1,2010,42906,1981,150,0
1776431201683,1,2070,44239,2041,153,0
1776431202681,1,2130,45564,2101,155,0
1776431203681,1,2190,46893,2161,152,0
1776431204683,1,2250,48241,2221,152,0
1776431205681,1,2310,49564,2281,152,0
1776431206683,1,2370,50880,2341,152,0
1776431207683,1,2430,52235,2401,152,0
1776431208683,1,2490,53605,2461,153,0
1776431209683,1,2550,54944,2521,153,0
1776431210682,1,2610,56272,2581,155,0
1776431211681,1,2670,57638,2641,152,0
1776431212682,1,2730,58987,2701,152,0
1776431213681,1,2790,60335,2761,136,0
1776431214681,1,2850,61683,2821,153,0
1776431215683,1,2910,63007,2881,153,0
1776431216683,1,2970,64358,2941,154,0
1776431217681,1,3027,65716,3001,134,0
1776431218682,1,3090,67034,3061,149,0
1776431219681,1,3150,68348,3121,203,0
1776431220682,1,3210,69712,3181,152,0
1776431221682,1,3270,71043,3241,155,0
1776431222683,1,3330,72371,3301,153,0
1776431223682,1,3390,73694,3361,168,0
1776431224683,1,3450,75026,3421,149,0
1776431225682,1,3510,76371,3481,151,0
1776431226681,1,3570,77713,3541,153,0
