wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776431167114,1,0,0,0,0
1776431168115,61,2,842,20,44
1776431169115,121,2,3230,40,157
1776431170117,181,2,5776,60,271
1776431171118,241,2,8344,80,387
1776431172120,301,2,10814,100,505
1776431173122,361,2,13334,120,621
1776431174124,421,2,15924,140,737
1776431175125,481,2,18516,160,856
1776431176126,541,2,21080,180,973
1776431177126,601,2,23654,200,1090
1776431178127,661,2,26202,220,1204
1776431179127,721,2,28770,240,1321
1776431180127,781,2,31366,260,1440
1776431181128,841,2,33806,280,1556
1776431182129,901,2,36330,300,1672
1776431183130,961,2,38964,320,1788
1776431184132,1022,2,41518,340,1904
1776431185133,1082,2,44124,360,2020
1776431186133,1142,2,46808,380,2137
1776431187133,1202,2,49472,400,2254
1776431188134,1262,2,52144,420,2368
1776431189134,1322,2,54808,440,2480
1776431190136,1382,2,57456,460,2595
1776431191138,1442,2,60130,480,2711
1776431192139,1502,2,62846,500,2825
1776431193141,1562,2,65512,520,2943
1776431194142,1622,2,68148,540,3055
1776431195144,1682,2,70848,560,3171
1776431196146,1742,2,73594,580,3287
1776431197147,1802,2,76272,600,3402
1776431198148,1863,2,79046,621,3520
1776431199149,1923,2,81762,641,3638
1776431200151,1983,2,84468,661,3752
1776431201153,2043,2,87156,681,3868
1776431202154,2103,2,89852,701,3986
1776431203154,2163,2,92498,721,4100
1776431204154,2223,2,95198,741,4214
1776431205154,2283,2,97890,761,4329
1776431206155,2343,2,100498,781,4443
1776431207155,2403,2,103148,801,4558
1776431208155,2463,2,105876,821,4676
1776431209156,2523,2,108554,841,4794
1776431210157,2583,2,111196,861,4912
1776431211158,2643,2,113872,881,5028
1776431212159,2703,2,116554,901,5144
1776431213160,2763,2,119246,921,5263
1776431214161,2823,2,121926,941,5379
1776431215162,2883,2,124576,961,5495
1776431216163,2943,2,127252,981,5611
1776431217163,3003,2,129974,1001,5728
1776431218163,3063,2,132668,1021,5843
1776431219163,3123,2,135304,1041,5960
1776431220164,3184,2,138010,1061,6076
1776431221164,3244,2,140736,1081,6193
1776431222166,3304,2,143414,1101,6308
1776431223166,3364,2,146056,1121,6428
1776431224167,3424,2,148756,1141,6543
1776431225168,3484,2,151440,1161,6661
1776431226169,3544,2,154142,1181,6776
1776431227170,3604,2,156816,1201,6892
1776431228170,3664,0,158079,1221,6954
