wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776430856980,1,0,0,0,0
1776430857980,61,2,743,20,33
1776430858980,121,2,2783,40,151
1776430859980,181,2,4823,60,268
1776430860980,241,2,6863,80,388
1776430861980,301,2,8903,100,502
1776430862980,361,2,10943,120,620
1776430863980,421,2,12983,140,731
1776430864980,481,2,15023,160,842
1776430865980,541,2,17063,180,958
1776430866980,601,2,19103,200,1072
1776430867980,661,2,21143,220,1190
1776430868980,721,2,23183,240,1309
1776430869980,781,2,25223,260,1425
1776430870980,841,2,27263,280,1542
1776430871980,901,2,29303,300,1658
1776430872980,961,2,31343,320,1777
1776430873980,1021,2,33383,340,1896
1776430874980,1081,2,35423,360,2015
1776430875980,1141,2,37463,380,2133
1776430876980,1201,2,39503,400,2249
1776430877980,1261,2,41543,420,2366
1776430878980,1321,2,43583,440,2482
1776430879980,1381,2,45623,460,2598
1776430880980,1441,2,47663,480,2712
1776430881980,1501,2,49703,500,2828
1776430882980,1561,2,51743,520,2941
1776430883982,1621,2,53783,540,3058
1776430884982,1681,2,55823,560,3172
1776430885982,1741,2,57863,580,3287
1776430886982,1801,2,59903,600,3405
1776430887982,1861,2,61943,620,3523
1776430888982,1921,2,63983,640,3640
1776430889982,1981,2,66023,660,3757
1776430890982,2041,2,68063,680,3876
1776430891982,2101,2,70103,700,3987
1776430892982,2161,2,72143,720,4102
1776430893982,2221,2,74183,740,4219
1776430894982,2281,2,76223,760,4339
1776430895982,2341,2,78263,780,4455
1776430896982,2401,2,80303,800,4571
1776430897982,2461,2,82343,820,4690
1776430898982,2521,2,84383,840,4808
1776430899982,2581,2,86423,860,4924
1776430900982,2641,2,88463,880,5040
1776430901982,2701,2,90503,900,5156
1776430902982,2761,2,92543,920,5274
1776430903982,2821,2,94583,940,5391
1776430904982,2881,2,96623,960,5510
1776430905982,2941,2,98663,980,5627
1776430906982,3001,2,100703,1000,5744
1776430907982,3061,2,102743,1020,5862
1776430908982,3121,2,104783,1040,5978
1776430909982,3181,2,106823,1060,6097
1776430910982,3241,2,108863,1080,6213
1776430911982,3301,2,110903,1100,6332
1776430912982,3361,2,112943,1120,6448
1776430913984,3421,2,114983,1140,6565
1776430914984,3481,2,117023,1160,6680
1776430915984,3541,2,119063,1180,6791
1776430916984,3601,2,121103,1200,6907
1776430917984,3661,2,123143,1220,6987
