wall_time_ms,player_id,input_seq,ack_seq,rtt_ms,reconciliation_error_px,perceived_delay_ms,mode
1776430919835,2,2,2,108,0,0,optimized_pred_on
1776430919835,2,1,2,126,0,0,optimized_pred_on
1776430919886,2,5,5,110,0,0,optimized_pred_on
1776430919886,2,4,5,125,0,0,optimized_pred_on
1776430919886,2,3,5,142,0,0,optimized_pred_on
1776430919935,2,8,8,107,0.22522,0,optimized_pred_on
1776430919936,2,7,8,126,0.22522,0,optimized_pred_on
1776430919936,2,6,8,142,0.22522,0,optimized_pred_on
1776430919986,2,11,11,108,0.00598145,0,optimized_pred_on
1776430919986,2,10,11,126,0.00598145,0,optimized_pred_on
1776430919986,2,9,11,141,0.00598145,0,optimized_pred_on
1776430920036,2,14,14,108,0.0057373,0,optimized_pred_on
1776430920036,2,13,14,125,0.0057373,0,optimized_pred_on
1776430920036,2,12,14,143,0.0057373,0,optimized_pred_on
1776430920084,2,17,17,106,0.0341797,0,optimized_pred_on
1776430920084,2,16,17,124,0.0341797,0,optimized_pred_on
1776430920084,2,15,17,141,0.0341797,0,optimized_pred_on
1776430920134,2,20,20,108,0.46228,0,optimized_pred_on
1776430920135,2,19,20,124,0.46228,0,optimized_pred_on
1776430920135,2,18,20,142,0.46228,0,optimized_pred_on
1776430920185,2,23,23,109,0.0665894,0,optimized_pred_on
1776430920185,2,22,23,124,0.0665894,0,optimized_pred_on
1776430920185,2,21,23,141,0.0665894,0,optimized_pred_on
1776430920235,2,26,26,108,0.108337,0,optimized_pred_on
1776430920235,2,25,26,126,0.108337,0,optimized_pred_on
1776430920235,2,24,26,141,0.108337,0,optimized_pred_on
1776430920285,2,29,29,108,0.106445,0,optimized_pred_on
1776430920285,2,28,29,125,0.106445,0,optimized_pred_on
1776430920285,2,27,29,140,0.106445,0,optimized_pred_on
1776430920335,2,31,31,125,4.13416,0,optimized_pred_on
1776430920335,2,30,31,140,4.13416,0,optimized_pred_on
1776430920386,2,34,34,126,0.026062,0,optimized_pred_on
1776430920386,2,33,34,141,0.026062,0,optimized_pred_on
1776430920386,2,32,34,159,0.026062,0,optimized_pred_on
1776430920435,2,38,38,108,4.11237,0,optimized_pred_on
1776430920435,2,37,38,126,4.11237,0,optimized_pred_on
1776430920435,2,36,38,140,4.11237,0,optimized_pred_on
1776430920435,2,35,38,157,4.11237,0,optimized_pred_on
1776430920486,2,41,41,108,0.262146,0,optimized_pred_on
1776430920486,2,40,41,125,0.262146,0,optimized_pred_on
1776430920486,2,39,41,141,0.262146,0,optimized_pred_on
1776430920534,2,44,44,106,0.142883,0,optimized_pred_on
1776430920534,2,43,44,123,0.142883,0,optimized_pred_on
1776430920534,2,42,44,141,0.142883,0,optimized_pred_on
1776430920586,2,47,47,110,0.392456,0,optimized_pred_on
1776430920586,2,46,47,124,0.392456,0,optimized_pred_on
1776430920586,2,45,47,141,0.392456,0,optimized_pred_on
1776430920637,2,50,50,110,0.206726,0,optimized_pred_on
1776430920637,2,49,50,127,0.206726,0,optimized_pred_on
1776430920637,2,48,50,144,0.206726,0,optimized_pred_on
1776430920684,2,53,53,107,0.0654297,0,optimized_pred_on
1776430920684,2,52,53,123,0.0654297,0,optimized_pred_on
1776430920684,2,51,53,140,0.0654297,0,optimized_pred_on
1776430920734,2,56,56,107,0.16217,0,optimized_pred_on
1776430920734,2,55,56,123,0.16217,0,optimized_pred_on
1776430920734,2,54,56,140,0.16217,0,optimized_pred_on
1776430920784,2,59,59,108,0.212097,0,optimized_pred_on
1776430920784,2,58,59,125,0.212097,0,optimized_pred_on
1776430920784,2,57,59,140,0.212097,0,optimized_pred_on
1776430920835,2,62,62,108,0.0791016,0,optimized_pred_on
1776430920835,2,61,62,126,0.0791016,0,optimized_pred_on
1776430920835,2,60,62,141,0.0791016,0,optimized_pred_on
1776430920885,2,65,65,108,0.00274658,0,optimized_pred_on
1776430920885,2,64,65,125,0.00274658,0,optimized_pred_on
1776430920885,2,63,65,141,0.00274658,0,optimized_pred_on
1776430920936,2,68,68,109,0.144287,0,optimized_pred_on
1776430920936,2,67,68,126,0.144287,0,optimized_pred_on
1776430920936,2,66,68,142,0.144287,0,optimized_pred_on
1776430920986,2,71,71,108,0.0923462,0,optimized_pred_on
1776430920986,2,70,71,126,0.0923462,0,optimized_pred_on
1776430920986,2,69,71,141,0.0923462,0,optimized_pred_on
1776430921037,2,74,74,109,0.0484619,0,optimized_pred_on
1776430921037,2,73,74,127,0.0484619,0,optimized_pred_on
1776430921037,2,72,74,144,0.0484619,0,optimized_pred_on
1776430921087,2,77,77,111,0.408875,0,optimized_pred_on
1776430921087,2,76,77,126,0.408875,0,optimized_pred_on
1776430921087,2,75,77,144,0.408875,0,optimized_pred_on
1776430921134,2,80,80,107,0.108704,0,optimized_pred_on
1776430921134,2,79,80,125,0.108704,0,optimized_pred_on
1776430921134,2,78,80,140,0.108704,0,optimized_pred_on
1776430921184,2,83,83,107,0.00268555,0,optimized_pred_on
1776430921184,2,82,83,123,0.00268555,0,optimized_pred_on
1776430921184,2,81,83,140,0.00268555,0,optimized_pred_on
1776430921235,2,86,86,108,0.0477295,0,optimized_pred_on
1776430921235,2,85,86,123,0.0477295,0,optimized_pred_on
1776430921235,2,84,86,140,0.0477295,0,optimized_pred_on
1776430921285,2,89,89,109,0.22644,0,optimized_pred_on
1776430921285,2,88,89,124,0.22644,0,optimized_pred_on
1776430921285,2,87,89,141,0.22644,0,optimized_pred_on
1776430921334,2,92,92,106,0,0,optimized_pred_on
1776430921334,2,91,92,124,0,0,optimized_pred_on
1776430921334,2,90,92,141,0,0,optimized_pred_on
1776430921386,2,95,95,108,0,0,optimized_pred_on
1776430921386,2,94,95,126,0,0,optimized_pred_on
1776430921386,2,93,95,141,0,0,optimized_pred_on
1776430921436,2,98,98,109,0,0,optimized_pred_on
1776430921436,2,97,98,126,0,0,optimized_pred_on
1776430921436,2,96,98,143,0,0,optimized_pred_on
1776430921486,2,101,101,110,0,0,optimized_pred_on
1776430921486,2,100,101,127,0,0,optimized_pred_on
1776430921486,2,99,101,142,0,0,optimized_pred_on
1776430921535,2,104,104,109,0.0358887,0,optimized_pred_on
1776430921535,2,103,104,124,0.0358887,0,optimized_pred_on
