wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776430981689,1,0,0,1,0,0
1776430982691,1,96,896,61,194,17
1776430983691,1,156,1865,121,146,32
1776430984690,1,216,2885,181,145,32
1776430985689,1,276,3905,241,145,32
1776430986690,1,336,4925,301,145,32
1776430987690,1,396,5843,361,145,32
1776430988690,1,456,6812,421,146,32
1776430989691,1,516,7832,481,144,32
1776430990689,1,576,8852,541,144,32
1776430991692,1,636,9872,601,144,32
1776430992691,1,696,10841,661,146,32
1776430993691,1,756,11861,721,145,32
1776430994689,1,816,12881,781,147,32
1776430995691,1,876,13850,841,146,32
1776430996691,1,936,14819,901,142,32
1776430997691,1,996,15686,961,144,32
1776430998691,1,1056,16655,1021,143,32
1776430999691,1,1116,17675,1081,146,32
1776431000689,1,1176,18593,1141,144,32
1776431001690,1,1236,19511,1201,145,32
1776431002690,1,1293,20429,1261,194,32
1776431003690,1,1356,21398,1321,162,32
1776431004691,1,1416,22367,1381,144,32
1776431005691,1,1476,23336,1441,146,32
1776431006690,1,1536,24356,1501,147,32
1776431007690,1,1596,25325,1561,146,32
1776431008689,1,1656,26243,1621,146,32
1776431009691,1,1716,27263,1681,143,32
1776431010692,1,1776,28232,1741,144,32
1776431011690,1,1836,29252,1801,147,32
1776431012692,1,1896,30221,1861,146,32
1776431013690,1,1956,31190,1921,145,32
1776431014691,1,2016,32210,1981,146,32
1776431015691,1,2076,33230,2041,144,32
1776431016690,1,2136,34250,2101,147,32
1776431017690,1,2196,35270,2161,147,32
1776431018691,1,2256,36137,2221,146,32
1776431019690,1,2316,37055,2281,195,32
1776431020691,1,2376,38024,2341,147,32
1776431021691,1,2436,39044,2401,144,32
1776431022691,1,2496,40064,2461,143,32
1776431023690,1,2556,41033,2521,145,32
1776431024690,1,2613,41951,2581,144,32
1776431025690,1,2676,42971,2641,145,32
1776431026689,1,2736,43940,2701,144,32
1776431027689,1,2796,44909,2761,144,32
1776431028691,1,2856,45929,2821,145,32
1776431029691,1,2916,46847,2881,147,32
1776431030691,1,2976,47867,2941,144,32
1776431031691,1,3036,48836,3001,147,32
1776431032690,1,3096,49856,3061,144,32
1776431033689,1,3156,50876,3121,145,32
1776431034690,1,3216,51896,3181,145,32
1776431035689,1,3276,52916,3241,145,32
1776431036691,1,3336,53936,3301,146,32
1776431037690,1,3396,54905,3361,147,32
1776431038690,1,3456,55874,3421,146,32
1776431039691,1,3516,56843,3481,144,32
1776431040690,1,3573,57710,3541,144,32
