wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776431478006,4,0,0,1,0,0
1776431479008,4,99,3569,61,148,0
1776431480008,4,159,7971,121,147,0
1776431481007,4,219,12371,181,145,0
1776431482008,4,279,16798,241,150,0
1776431483006,4,339,21356,301,145,0
1776431484007,4,399,25766,361,147,0
1776431485008,4,459,30036,421,149,0
1776431486006,4,519,34328,481,147,0
1776431487006,4,579,38452,541,147,0
1776431488008,4,639,42820,601,151,0
1776431489006,4,699,47105,661,146,0
1776431490006,4,759,51346,721,150,0
1776431491006,4,819,55644,781,147,0
1776431492007,4,879,59981,841,148,0
1776431493008,4,939,64342,901,147,0
1776431494006,4,999,69024,959,173,0
1776431495008,4,1059,73541,1019,151,0
1776431496007,4,1119,78243,1079,153,0
1776431497006,4,1179,83016,1139,156,0
1776431498006,4,1239,87785,1199,137,0
1776431499008,4,1299,92367,1259,151,0
1776431500007,4,1359,97007,1319,155,0
1776431501006,4,1419,101715,1379,151,0
1776431502008,4,1479,106379,1439,134,0
1776431503007,4,1539,110863,1499,154,0
1776431504007,4,1599,115425,1559,135,0
1776431505007,4,1659,119955,1619,152,0
1776431506008,4,1719,124823,1679,135,0
1776431507006,4,1779,129492,1739,154,0
1776431508006,4,1839,134291,1799,151,0
1776431509007,4,1899,139044,1859,153,0
1776431510008,4,1959,143746,1919,136,0
1776431511006,4,2019,148311,1979,152,0
1776431512006,4,2079,152919,2039,153,0
1776431513005,4,2139,157596,2099,152,0
1776431514007,4,2199,162306,2159,136,0
1776431515008,4,2259,166846,2219,152,0
1776431516008,4,2319,171276,2279,152,0
1776431517006,4,2379,176134,2339,136,0
1776431518005,4,2439,180834,2399,136,0
1776431519006,4,2499,185640,2459,137,0
1776431520007,4,2559,190335,2519,152,0
1776431521005,4,2619,194946,2579,154,0
1776431522007,4,2679,199679,2639,134,0
1776431523005,4,2739,204267,2699,135,0
1776431524008,4,2799,208824,2759,153,0
1776431525007,4,2859,213371,2819,136,0
1776431526007,4,2919,218081,2879,152,0
1776431527008,4,2979,222737,2939,132,0
1776431528006,4,3039,227267,2999,134,0
1776431529008,4,3099,231806,3059,134,0
1776431530007,4,3159,236562,3119,152,0
1776431531006,4,3219,241420,3179,152,0
1776431532007,4,3279,246039,3239,152,0
1776431533005,4,3339,250661,3299,152,0
1776431534006,4,3399,255328,3359,155,0
1776431535007,4,3459,259993,3419,151,0
1776431536006,4,3519,264529,3479,153,0
1776431537006,4,3579,269283,3539,138,0
