wall_time_ms,server_tick,connected_players,bytes_sent_total,snapshots_sent_total,input_packets_received_total
1776431477283,1,0,0,0,0
1776431478283,61,8,5468,20,98
1776431479283,120,8,37588,40,577
1776431480284,181,8,73204,60,1059
1776431481285,241,8,108092,80,1540
1776431482285,301,8,143900,100,2019
1776431483285,361,8,180372,120,2500
1776431484286,421,8,215556,140,2980
1776431485287,481,8,249548,160,3460
1776431486287,541,8,283860,180,3940
1776431487288,601,8,317684,200,4420
1776431488289,661,8,352660,220,4900
1776431489290,721,8,386284,240,5380
1776431490291,781,8,420956,260,5860
1776431491291,841,8,455044,280,6340
1776431492293,901,8,489452,300,6823
1776431493295,961,8,526052,320,7304
1776431494296,1020,8,562132,340,7776
1776431495297,1080,8,598908,360,8257
1776431496298,1140,8,636620,380,8738
1776431497298,1200,8,675188,400,9218
1776431498298,1260,8,712740,420,9698
1776431499299,1320,8,749244,440,10178
1776431500301,1380,8,786548,460,10658
1776431501301,1440,8,823716,480,11138
1776431502301,1500,8,860708,500,11618
1776431503303,1560,8,896692,520,12098
1776431504304,1620,8,933116,540,12578
1776431505305,1680,8,969940,560,13058
1776431506306,1740,8,1008884,580,13538
1776431507308,1800,8,1046324,600,14018
1776431508308,1861,8,1084996,620,14500
1776431509308,1921,8,1123508,640,14978
1776431510309,1981,8,1160268,660,15460
1776431511310,2041,8,1196892,680,15943
1776431512311,2101,8,1234788,700,16425
1776431513312,2161,8,1271380,720,16905
1776431514313,2221,8,1308964,740,17386
1776431515314,2281,8,1345628,760,17865
1776431516316,2341,8,1381028,780,18346
1776431517316,2401,8,1420500,800,18826
1776431518317,2461,8,1457684,820,19306
1776431519317,2521,8,1496356,840,19786
1776431520317,2581,8,1533084,860,20266
1776431521317,2641,8,1570276,880,20746
1776431522318,2701,8,1607180,900,21226
1776431523318,2761,8,1644292,920,21706
1776431524320,2821,8,1680020,940,22186
1776431525321,2881,8,1717172,960,22666
1776431526322,2941,8,1754996,980,23146
1776431527322,3001,8,1791916,1000,23626
1776431528322,3061,8,1827940,1020,24106
1776431529323,3121,8,1864924,1040,24586
1776431530324,3181,8,1903532,1060,25066
1776431531324,3241,8,1941940,1080,25546
1776431532325,3302,8,1979028,1100,26029
1776431533326,3362,8,2015620,1120,26508
1776431534328,3422,8,2053532,1140,26993
1776431535329,3482,8,2090668,1160,27474
1776431536329,3542,8,2127460,1180,27954
1776431537329,3602,8,2165180,1200,28433
1776431538329,3662,0,2189918,1220,28770
