wall_time_ms,player_id,input_seq,ack_seq,rtt_ms,reconciliation_error_px,perceived_delay_ms,mode
1776431540358,7,3,3,116,0,116,baseline
1776431540358,7,2,3,133,0,133,baseline
1776431540358,7,1,3,151,0,151,baseline
1776431540405,7,6,6,114,0,114,baseline
1776431540405,7,5,6,129,0,129,baseline
1776431540405,7,4,6,146,0,146,baseline
1776431540455,7,9,9,113,0,113,baseline
1776431540455,7,8,9,130,0,130,baseline
1776431540455,7,7,9,147,0,147,baseline
1776431540502,7,12,12,109,0,109,baseline
1776431540502,7,11,12,127,0,127,baseline
1776431540502,7,10,12,144,0,144,baseline
1776431540557,7,15,15,115,0,115,baseline
1776431540557,7,14,15,132,0,132,baseline
1776431540557,7,13,15,149,0,149,baseline
1776431540604,7,18,18,112,0,112,baseline
1776431540604,7,17,18,129,0,129,baseline
1776431540604,7,16,18,147,0,147,baseline
1776431540657,7,21,21,115,0,115,baseline
1776431540657,7,20,21,132,0,132,baseline
1776431540657,7,19,21,150,0,150,baseline
1776431540705,7,24,24,114,0,114,baseline
1776431540705,7,23,24,131,0,131,baseline
1776431540705,7,22,24,146,0,146,baseline
1776431540756,7,27,27,114,0,114,baseline
1776431540756,7,26,27,131,0,131,baseline
1776431540756,7,25,27,147,0,147,baseline
1776431540804,7,30,30,112,0,112,baseline
1776431540804,7,29,30,129,0,129,baseline
1776431540804,7,28,30,147,0,147,baseline
1776431540856,7,33,33,115,0,115,baseline
1776431540856,7,32,33,131,0,131,baseline
1776431540856,7,31,33,149,0,149,baseline
1776431540906,7,36,36,114,0,114,baseline
1776431540906,7,35,36,130,0,130,baseline
1776431540906,7,34,36,147,0,147,baseline
1776431540956,7,39,39,115,0,115,baseline
1776431540956,7,38,39,132,0,132,baseline
1776431540956,7,37,39,147,0,147,baseline
1776431541006,7,42,42,115,0,115,baseline
1776431541006,7,41,42,130,0,130,baseline
1776431541006,7,40,42,147,0,147,baseline
1776431541054,7,45,45,113,0,113,baseline
1776431541054,7,44,45,128,0,128,baseline
1776431541054,7,43,45,145,0,145,baseline
1776431541109,7,48,48,118,0,118,baseline
1776431541109,7,47,48,133,0,133,baseline
1776431541109,7,46,48,150,0,150,baseline
1776431541156,7,51,51,115,0,115,baseline
1776431541156,7,50,51,130,0,130,baseline
1776431541156,7,49,51,148,0,148,baseline
1776431541207,7,54,54,115,0,115,baseline
1776431541207,7,53,54,133,0,133,baseline
1776431541207,7,52,54,148,0,148,baseline
1776431541259,7,57,57,118,0,118,baseline
1776431541259,7,56,57,133,0,133,baseline
1776431541259,7,55,57,150,0,150,baseline
1776431541306,7,60,60,115,0,115,baseline
1776431541306,7,59,60,130,0,130,baseline
1776431541306,7,58,60,148,0,148,baseline
1776431541355,7,63,63,114,0,114,baseline
1776431541355,7,62,63,131,0,131,baseline
1776431541355,7,61,63,146,0,146,baseline
1776431541406,7,66,66,115,0,115,baseline
1776431541406,7,65,66,130,0,130,baseline
1776431541406,7,64,66,147,0,147,baseline
1776431541456,7,69,69,114,0,114,baseline
1776431541456,7,68,69,132,0,132,baseline
1776431541456,7,67,69,147,0,147,baseline
1776431541504,7,72,72,113,0,113,baseline
1776431541504,7,71,72,130,0,130,baseline
1776431541504,7,70,72,147,0,147,baseline
1776431541555,7,75,75,114,0,114,baseline
1776431541555,7,74,75,131,0,131,baseline
1776431541555,7,73,75,146,0,146,baseline
1776431541606,7,78,78,115,0,115,baseline
1776431541606,7,77,78,130,0,130,baseline
1776431541606,7,76,78,147,0,147,baseline
1776431541658,7,81,81,116,0,116,baseline
1776431541658,7,80,81,134,0,134,baseline
1776431541658,7,79,81,149,0,149,baseline
1776431541705,7,84,84,112,0,112,baseline
1776431541705,7,83,84,130,0,130,baseline
1776431541705,7,82,84,148,0,148,baseline
1776431541757,7,87,87,114,0,114,baseline
1776431541757,7,86,87,132,0,132,baseline
1776431541757,7,85,87,149,0,149,baseline
1776431541807,7,90,90,115,0,115,baseline
1776431541807,7,89,90,132,0,132,baseline
1776431541807,7,88,90,149,0,149,baseline
1776431541854,7,93,93,112,0,112,baseline
1776431541854,7,92,93,130,0,130,baseline
1776431541854,7,91,93,147,0,147,baseline
1776431541908,7,96,96,117,0,117,baseline
1776431541908,7,95,96,134,0,134,baseline
1776431541908,7,94,96,149,0,149,baseline
1776431541957,7,99,99,115,0,115,baseline
1776431541957,7,98,99,132,0,132,baseline
1776431541957,7,97,99,148,0,148,baseline
1776431542005,7,102,102,112,0,112,baseline
1776431542005,7,101,102,130,0,130,baseline
1776431542005,7,100,102,145,0,145,baseline
1776431542056,7,105,105,114,0,114,baseline
1776431542056,7,104,105,131,0,131,baseline
1776431542056,7,103,105,148,0,148,baseline
1776431542104,7,108,108,112,0,112,baseline
1776431542104,7,107,108,128,0,128,baseline
1776431542104,7,106,108,145,0,145,baseline
1776431542154,7,111,111,113,0,113,baseline
1776431542154,7,110,111,129,0,129,baseline
1776431542154,7,109,111,147,0,147,baseline
1776431542204,7,114,114,112,0,112,baseline
1776431542204,7,113,114,130,0,130,baseline
1776431542204,7,112,114,145,0,145,baseline
1776431542255,7,117,117,114,0,114,baseline
1776431542255,7,116,117,131,0,131,baseline
1776431542255,7,115,117,146,0,146,baseline
1776431542306,7,120,120,114,0,114,baseline
1776431542306,7,119,120,131,0,131,baseline
1776431542306,7,118,120,148,0,148,baseline
1776431542357,7,123,123,116,0,116,baseline
1776431542357,7,122,123,131,0,131,baseline
1776431542357,7,121,123,148,0,148,baseline
1776431542406,7,126,126,115,0,115,baseline
1776431542406,7,125,126,132,0,132,baseline
1776431542406,7,124,126,148,0,148,baseline
1776431542456,7,129,129,114,0,114,baseline
1776431542456,7,128,129,131,0,131,baseline
1776431542456,7,127,129,148,0,148,baseline
1776431542505,7,132,132,114,0,114,baseline
1776431542505,7,131,132,131,0,131,baseline
1776431542505,7,130,132,146,0,146,baseline
1776431542555,7,135,135,113,0,113,baseline
1776431542555,7,134,135,130,0,130,baseline
1776431542555,7,133,135,147,0,147,baseline
1776431542607,7,138,138,116,0,116,baseline
1776431542607,7,137,138,131,0,131,baseline
1776431542607,7,136,138,148,0,148,baseline
1776431542654,7,141,141,113,0,113,baseline
1776431542654,7,140,141,129,0,129,baseline
1776431542654,7,139,141,146,0,146,baseline
1776431542704,7,144,144,112,0,112,baseline
1776431542704,7,143,144,129,0,129,baseline
1776431542704,7,142,144,146,0,146,baseline
1776431542755,7,147,147,113,0,113,baseline
1776431542755,7,146,147,131,0,131,baseline
1776431542755,7,145,147,146,0,146,baseline
1776431542807,7,150,150,116,0,116,baseline
1776431542807,7,149,150,131,0,131,baseline
1776431542807,7,148,150,148,0,148,baseline
1776431542856,7,153,153,113,0,113,baseline
1776431542856,7,152,153,131,0,131,baseline
1776431542856,7,151,153,148,0,148,baseline
1776431542903,7,156,156,111,0,111,baseline
1776431542903,7,155,156,128,0,128,baseline
1776431542903,7,154,156,146,0,146,baseline
1776431542953,7,159,159,112,0,112,baseline
1776431542953,7,158,159,129,0,129,baseline
1776431542953,7,157,159,144,0,144,baseline
1776431543006,7,162,162,115,0,115,baseline
1776431543006,7,161,162,130,0,130,baseline
1776431543006,7,160,162,148,0,148,baseline
1776431543055,7,165,165,114,0,114,baseline
1776431543055,7,164,165,129,0,129,baseline
1776431543055,7,163,165,147,0,147,baseline
1776431543105,7,168,168,114,0,114,baseline
1776431543105,7,167,168,129,0,129,baseline
1776431543105,7,166,168,146,0,146,baseline
1776431543157,7,171,171,115,0,115,baseline
1776431543157,7,170,171,133,0,133,baseline
1776431543157,7,169,171,148,0,148,baseline
1776431543206,7,174,174,114,0,114,baseline
1776431543206,7,173,174,132,0,132,baseline
1776431543206,7,172,174,146,0,146,baseline
1776431543256,7,177,177,114,0,114,baseline
1776431543256,7,176,177,132,0,132,baseline
1776431543256,7,175,177,146,0,146,baseline
1776431543305,7,180,180,113,0,113,baseline
