wall_time_ms,player_id,latest_snapshot_tick,bytes_received_total,input_packets_sent_total,estimated_input_to_visible_delay_ms,interpolation_buffer_entries
1776431230024,5,0,0,1,0,0
1776431231024,5,108,3528,61,147,17
1776431232025,5,168,7188,120,138,32
1776431233026,5,228,10848,180,152,32
1776431234024,5,288,14508,240,138,32
1776431235025,5,348,18168,300,155,32
1776431236024,5,408,21828,360,153,32
1776431237025,5,468,25488,420,136,32
1776431238024,5,528,29148,480,154,32
1776431239026,5,588,32808,540,139,32
1776431240025,5,648,36468,600,154,32
1776431241026,5,708,40128,660,155,32
1776431242026,5,768,43788,720,153,32
1776431243025,5,828,47448,780,137,32
1776431244026,5,888,51108,840,137,32
1776431245026,5,948,54768,900,153,32
1776431246026,5,1008,58428,960,139,32
1776431247026,5,1068,62088,1020,152,32
1776431248024,5,1128,65748,1080,154,32
1776431249026,5,1188,69408,1140,155,32
1776431250025,5,1248,73068,1200,153,32
1776431251026,5,1308,76728,1260,153,32
1776431252026,5,1368,80388,1320,152,32
1776431253026,5,1428,84048,1380,153,32
1776431254024,5,1488,87708,1440,137,32
1776431255026,5,1548,91368,1500,153,32
1776431256026,5,1608,95028,1560,153,32
1776431257026,5,1668,98688,1620,137,32
1776431258025,5,1728,102348,1680,137,32
1776431259025,5,1788,106008,1740,154,32
1776431260025,5,1848,109668,1800,155,32
1776431261026,5,1908,113328,1860,153,32
1776431262026,5,1968,116988,1920,153,32
1776431263025,5,2028,120648,1980,153,32
1776431264026,5,2088,124308,2040,136,32
1776431265025,5,2148,127968,2100,138,32
1776431266025,5,2208,131628,2160,154,32
1776431267025,5,2268,135288,2220,154,32
1776431268025,5,2328,138948,2280,154,32
1776431269024,5,2388,142608,2340,153,32
1776431270024,5,2448,146268,2400,152,32
1776431271024,5,2508,149928,2460,154,32
1776431272025,5,2568,153588,2520,138,32
1776431273024,5,2628,157248,2580,156,32
1776431274024,5,2688,160908,2640,153,32
1776431275024,5,2748,164568,2700,153,32
1776431276024,5,2808,168228,2760,153,32
1776431277026,5,2868,171888,2820,153,32
1776431278025,5,2928,175548,2880,152,32
1776431279024,5,2988,179208,2940,154,32
1776431280024,5,3048,182868,3000,154,32
1776431281026,5,3108,186528,3060,154,32
1776431282024,5,3168,190188,3120,154,32
1776431283025,5,3228,193848,3180,138,32
1776431284024,5,3288,197508,3240,154,32
1776431285026,5,3348,201168,3300,138,32
1776431286025,5,3408,204828,3360,138,32
1776431287025,5,3468,208488,3420,153,32
1776431288026,5,3528,212148,3480,153,32
1776431289025,5,3588,215808,3540,155,32
