wall_time_ms,player_id,input_seq,ack_seq,rtt_ms,reconciliation_error_px,perceived_delay_ms,mode
1776431354046,2,2,2,115,0,0,optimized_pred_on
1776431354046,2,1,2,132,0,0,optimized_pred_on
1776431354096,2,5,5,115,0,0,optimized_pred_on
1776431354096,2,4,5,130,0,0,optimized_pred_on
1776431354096,2,3,5,147,0,0,optimized_pred_on
1776431354144,2,8,8,112,0.181213,0,optimized_pred_on
1776431354144,2,7,8,129,0.181213,0,optimized_pred_on
1776431354144,2,6,8,146,0.181213,0,optimized_pred_on
1776431354195,2,11,11,112,0.255798,0,optimized_pred_on
1776431354195,2,10,11,129,0.255798,0,optimized_pred_on
1776431354195,2,9,11,146,0.255798,0,optimized_pred_on
1776431354243,2,14,14,111,0.279053,0,optimized_pred_on
1776431354243,2,13,14,128,0.279053,0,optimized_pred_on
1776431354243,2,12,14,145,0.279053,0,optimized_pred_on
1776431354295,2,17,17,114,0.163757,0,optimized_pred_on
1776431354295,2,16,17,131,0.163757,0,optimized_pred_on
1776431354295,2,15,17,146,0.163757,0,optimized_pred_on
1776431354345,2,20,20,113,0.0662231,0,optimized_pred_on
1776431354345,2,19,20,130,0.0662231,0,optimized_pred_on
1776431354345,2,18,20,147,0.0662231,0,optimized_pred_on
1776431354396,2,23,23,114,0.174011,0,optimized_pred_on
1776431354396,2,22,23,131,0.174011,0,optimized_pred_on
1776431354396,2,21,23,148,0.174011,0,optimized_pred_on
1776431354447,2,26,26,115,0.133728,0,optimized_pred_on
1776431354447,2,25,26,133,0.133728,0,optimized_pred_on
1776431354447,2,24,26,148,0.133728,0,optimized_pred_on
1776431354495,2,29,29,114,0.109314,0,optimized_pred_on
1776431354495,2,28,29,131,0.109314,0,optimized_pred_on
1776431354495,2,27,29,147,0.109314,0,optimized_pred_on
1776431354545,2,32,32,113,0.161316,0,optimized_pred_on
1776431354545,2,31,32,130,0.161316,0,optimized_pred_on
1776431354545,2,30,32,147,0.161316,0,optimized_pred_on
1776431354594,2,35,35,113,0.20813,0,optimized_pred_on
1776431354594,2,34,35,128,0.20813,0,optimized_pred_on
1776431354594,2,33,35,145,0.20813,0,optimized_pred_on
1776431354645,2,38,38,114,0.00537109,0,optimized_pred_on
1776431354645,2,37,38,131,0.00537109,0,optimized_pred_on
1776431354645,2,36,38,147,0.00537109,0,optimized_pred_on
1776431354697,2,41,41,115,0.16333,0,optimized_pred_on
1776431354697,2,40,41,132,0.16333,0,optimized_pred_on
1776431354697,2,39,41,149,0.16333,0,optimized_pred_on
1776431354745,2,44,44,112,0.327637,0,optimized_pred_on
1776431354745,2,43,44,129,0.327637,0,optimized_pred_on
1776431354745,2,42,44,145,0.327637,0,optimized_pred_on
1776431354795,2,47,47,113,0.216675,0,optimized_pred_on
1776431354795,2,46,47,130,0.216675,0,optimized_pred_on
1776431354795,2,45,47,145,0.216675,0,optimized_pred_on
1776431354844,2,50,50,111,0.121643,0,optimized_pred_on
1776431354844,2,49,50,128,0.121643,0,optimized_pred_on
1776431354844,2,48,50,145,0.121643,0,optimized_pred_on
1776431354895,2,53,53,114,0.42627,0,optimized_pred_on
1776431354895,2,52,53,131,0.42627,0,optimized_pred_on
1776431354895,2,51,53,145,0.42627,0,optimized_pred_on
1776431354944,2,56,56,112,0.228638,0,optimized_pred_on
1776431354944,2,55,56,129,0.228638,0,optimized_pred_on
1776431354944,2,54,56,146,0.228638,0,optimized_pred_on
1776431354995,2,59,59,112,0.155884,0,optimized_pred_on
1776431354995,2,58,59,130,0.155884,0,optimized_pred_on
1776431354995,2,57,59,146,0.155884,0,optimized_pred_on
1776431355045,2,62,62,113,0.022644,0,optimized_pred_on
1776431355045,2,61,62,130,0.022644,0,optimized_pred_on
1776431355045,2,60,62,147,0.022644,0,optimized_pred_on
1776431355094,2,65,65,113,0.348572,0,optimized_pred_on
1776431355094,2,64,65,128,0.348572,0,optimized_pred_on
1776431355094,2,63,65,145,0.348572,0,optimized_pred_on
1776431355145,2,68,68,112,0.479736,0,optimized_pred_on
1776431355145,2,67,68,129,0.479736,0,optimized_pred_on
1776431355145,2,66,68,145,0.479736,0,optimized_pred_on
1776431355196,2,71,71,114,0.339233,0,optimized_pred_on
1776431355196,2,70,71,132,0.339233,0,optimized_pred_on
1776431355196,2,69,71,147,0.339233,0,optimized_pred_on
1776431355245,2,74,74,112,0.249268,0,optimized_pred_on
1776431355245,2,73,74,131,0.249268,0,optimized_pred_on
1776431355245,2,72,74,146,0.249268,0,optimized_pred_on
1776431355295,2,77,77,114,0.282715,0,optimized_pred_on
1776431355295,2,76,77,131,0.282715,0,optimized_pred_on
1776431355295,2,75,77,148,0.282715,0,optimized_pred_on
1776431355346,2,80,80,113,0.28009,0,optimized_pred_on
1776431355346,2,79,80,130,0.28009,0,optimized_pred_on
1776431355346,2,78,80,148,0.28009,0,optimized_pred_on
1776431355394,2,83,83,112,0.050293,0,optimized_pred_on
1776431355394,2,82,83,128,0.050293,0,optimized_pred_on
1776431355394,2,81,83,146,0.050293,0,optimized_pred_on
1776431355445,2,86,86,114,0.262268,0,optimized_pred_on
